Count,Group,E1
1,Alternating,1
2,Alternating,1
3,Alternating,1
4,Alternating,1
5,Alternating,1
6,Alternating,1
7,Alternating,1
8,Alternating,0
9,Alternating,0
10,Alternating,0
11,Alternating,0
12,Alternating,0
13,Alternating,0
14,Alternating,0
15,Alternating,0
16,Alternating,0
17,Alternating,0
18,Alternating,0
19,Alternating,0
20,Alternating,0
21,Alternating,0
22,Alternating,0
23,Alternating,0
24,Alternating,0
25,Alternating,0
26,Alternating,0
27,Alternating,0
28,Alternating,0
29,Alternating,0
30,Alternating,0
31,Alternating,0
32,Alternating,0
33,Alternating,0
1,Alternating,1
2,Alternating,1
3,Alternating,1
4,Alternating,0
5,Alternating,0
6,Alternating,0
7,Alternating,0
8,Alternating,0
9,Alternating,0
10,Alternating,0
11,Alternating,0
12,Alternating,0
13,Alternating,0
14,Alternating,0
15,Alternating,0
16,Alternating,0
17,Alternating,0
18,Alternating,0
19,Alternating,0
20,Alternating,0
21,Alternating,0
22,Alternating,0
23,Alternating,0
24,Alternating,0
25,Alternating,0
26,Alternating,0
27,Alternating,0
28,Alternating,0
29,Alternating,0
30,Alternating,0
1,Alternating,1
2,Alternating,1
3,Alternating,1
4,Alternating,0
5,Alternating,0
6,Alternating,0
7,Alternating,0
8,Alternating,0
9,Alternating,0
10,Alternating,0
11,Alternating,0
12,Alternating,0
13,Alternating,0
14,Alternating,0
15,Alternating,0
16,Alternating,0
17,Alternating,0
18,Alternating,0
19,Alternating,0
20,Alternating,0
21,Alternating,0
22,Alternating,0
23,Alternating,0
24,Alternating,0
25,Alternating,0
26,Alternating,0
27,Alternating,0
28,Alternating,0
29,Alternating,0
30,Alternating,0
1,Alternating,1
2,Alternating,1
3,Alternating,1
4,Alternating,1
5,Alternating,1
6,Alternating,1
7,Alternating,1
8,Alternating,0
9,Alternating,0
10,Alternating,0
11,Alternating,0
12,Alternating,0
13,Alternating,0
14,Alternating,0
15,Alternating,0
16,Alternating,0
17,Alternating,0
18,Alternating,0
19,Alternating,0
20,Alternating,0
21,Alternating,0
22,Alternating,0
23,Alternating,0
24,Alternating,0
25,Alternating,0
26,Alternating,0
27,Alternating,0
28,Alternating,0
29,Alternating,0
30,Alternating,0
31,Alternating,0
1,Plain,1
2,Plain,1
3,Plain,1
4,Plain,1
5,Plain,1
6,Plain,1
7,Plain,1
8,Plain,1
9,Plain,1
10,Plain,1
11,Plain,1
12,Plain,1
13,Plain,1
14,Plain,1
15,Plain,1
16,Plain,1
17,Plain,1
18,Plain,1
19,Plain,1
20,Plain,1
21,Plain,1
22,Plain,1
23,Plain,1
24,Plain,1
25,Plain,1
26,Plain,1
27,Plain,0
28,Plain,0
29,Plain,0
30,Plain,0
31,Plain,0
1,Plain,1
2,Plain,1
3,Plain,1
4,Plain,1
5,Plain,1
6,Plain,1
7,Plain,1
8,Plain,1
9,Plain,1
10,Plain,1
11,Plain,1
12,Plain,1
13,Plain,1
14,Plain,1
15,Plain,1
16,Plain,1
17,Plain,1
18,Plain,1
19,Plain,1
20,Plain,1
21,Plain,1
22,Plain,1
23,Plain,1
24,Plain,1
25,Plain,1
26,Plain,1
27,Plain,1
28,Plain,1
29,Plain,1
30,Plain,1
31,Plain,1
32,Plain,1
33,Plain,1
34,Plain,1
35,Plain,1
36,Plain,1
37,Plain,1
38,Plain,1
39,Plain,0
40,Plain,0
41,Plain,0
42,Plain,0
43,Plain,0
44,Plain,0
45,Plain,0
1,Plain,1
2,Plain,1
3,Plain,1
4,Plain,1
5,Plain,1
6,Plain,1
7,Plain,1
8,Plain,1
9,Plain,1
10,Plain,1
11,Plain,1
12,Plain,1
13,Plain,1
14,Plain,1
15,Plain,1
16,Plain,1
17,Plain,1
18,Plain,1
19,Plain,1
20,Plain,1
21,Plain,1
22,Plain,1
23,Plain,1
24,Plain,1
25,Plain,1
26,Plain,1
27,Plain,1
28,Plain,1
29,Plain,1
30,Plain,1
31,Plain,1
32,Plain,1
33,Plain,1
34,Plain,0
35,Plain,0
36,Plain,0
37,Plain,0
38,Plain,0
39,Plain,0
40,Plain,0
41,Plain,0
42,Plain,0
43,Plain,0
44,Plain,0
45,Plain,0
