,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0025,0.0,0.0075,0.0025,0.01,0.01,0.0025,0.0125,0.01,0.015,0.0075,0.0075,0.0,0.0025,0.0125,0.0075,0.01,0.0075,0.005,0.0175,0.0075
1,0.025,0.025,0.0325,0.06,0.0275,0.0525,0.0475,0.0525,0.05,0.0425,0.04,0.0525,0.0425,0.0575,0.0475,0.0775,0.0525,0.06,0.075,0.055,0.0475
2,0.1025,0.155,0.145,0.1725,0.15,0.1625,0.1475,0.17,0.1625,0.16,0.155,0.14,0.19,0.1925,0.1725,0.1775,0.125,0.155,0.195,0.135,0.14
3,0.3,0.3175,0.32,0.3275,0.355,0.2825,0.3025,0.3,0.235,0.26,0.29,0.185,0.2525,0.2125,0.24,0.19,0.2125,0.1725,0.245,0.1325,0.1775
4,0.5525,0.53,0.4625,0.4125,0.36,0.3675,0.2875,0.19,0.2625,0.165,0.2175,0.165,0.1725,0.1275,0.165,0.2,0.1225,0.1125,0.2025,0.13,0.205
5,0.6275,0.6325,0.52,0.4425,0.3025,0.195,0.14,0.155,0.0925,0.0725,0.0525,0.0375,0.0575,0.075,0.075,0.01,0.0575,0.0575,0.065,0.0575,0.045
6,0.7675,0.695,0.5375,0.4025,0.2625,0.14,0.155,0.0425,0.03,0.0175,0.025,0.0175,0.0075,0.01,0.0175,0.02,0.01,0.0175,0.03,0.02,0.03
7,0.7975,0.7375,0.5825,0.4475,0.3325,0.135,0.0875,0.03,0.0425,0.0175,0.0075,0.0025,0.01,0.0,0.0075,0.0025,0.0,0.0,0.0,0.0,0.0
8,0.815,0.7875,0.6475,0.4825,0.34,0.175,0.1075,0.0425,0.01,0.0075,0.0025,0.0075,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0
9,0.8825,0.8175,0.75,0.5525,0.3775,0.1925,0.1125,0.0375,0.0175,0.01,0.0025,0.005,0.0075,0.01,0.0,0.0,0.0025,0.0,0.0,0.0,0.01
10,0.88,0.86,0.7475,0.63,0.37,0.27,0.15,0.0325,0.0175,0.0075,0.0075,0.0,0.005,0.01,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0
11,0.91,0.8625,0.795,0.6425,0.4775,0.36,0.175,0.075,0.03,0.03,0.01,0.0175,0.01,0.0,0.0025,0.0,0.0025,0.0,0.0,0.0,0.0
12,0.9325,0.8975,0.8775,0.72,0.505,0.3,0.2125,0.0925,0.035,0.02,0.0075,0.0125,0.0025,0.0025,0.0,0.005,0.0025,0.0,0.0025,0.0025,0.0
13,0.95,0.93,0.86,0.79,0.5075,0.3425,0.21,0.13,0.0675,0.055,0.005,0.0125,0.005,0.0,0.01,0.005,0.0025,0.0025,0.0,0.0,0.0
14,0.9525,0.935,0.885,0.79,0.635,0.4525,0.285,0.115,0.0825,0.0275,0.0275,0.01,0.01,0.0025,0.005,0.0025,0.0,0.0,0.0025,0.005,0.0
15,0.9875,0.955,0.9025,0.8325,0.66,0.5,0.2475,0.1725,0.0775,0.055,0.03,0.0,0.0075,0.0,0.0075,0.005,0.01,0.0,0.0,0.0075,0.005
16,0.985,0.94,0.925,0.855,0.745,0.5225,0.37,0.18,0.1125,0.0725,0.025,0.015,0.0125,0.0075,0.005,0.0025,0.005,0.0075,0.0075,0.0025,0.005
17,0.9825,0.9575,0.94,0.875,0.7475,0.6125,0.43,0.235,0.1525,0.0925,0.0575,0.01,0.015,0.0225,0.0025,0.0025,0.0,0.005,0.0075,0.0075,0.0
18,0.9875,0.98,0.965,0.905,0.865,0.6675,0.475,0.2575,0.1475,0.075,0.035,0.03,0.025,0.01,0.0025,0.015,0.01,0.0,0.0075,0.005,0.0025
19,0.9875,0.97,0.945,0.91,0.865,0.72,0.5675,0.3175,0.235,0.0625,0.06,0.04,0.0125,0.03,0.0125,0.005,0.0,0.005,0.0075,0.005,0.0125
20,0.9875,0.9825,0.9625,0.915,0.91,0.8375,0.645,0.465,0.2625,0.1325,0.105,0.0575,0.025,0.055,0.0025,0.0225,0.015,0.015,0.0125,0.0125,0.0
21,0.9925,0.9825,0.9625,0.94,0.8925,0.8475,0.71,0.47,0.3025,0.1325,0.085,0.0525,0.0375,0.0175,0.0025,0.0075,0.0075,0.005,0.01,0.01,0.0075
22,0.9875,0.9825,0.97,0.965,0.91,0.8725,0.73,0.535,0.375,0.31,0.1325,0.055,0.0425,0.0425,0.035,0.0325,0.0225,0.005,0.0,0.015,0.01
23,0.9975,0.99,0.98,0.9525,0.9525,0.8875,0.7425,0.59,0.375,0.2175,0.18,0.115,0.0825,0.0425,0.02,0.015,0.0075,0.005,0.01,0.01,0.0
24,0.9925,0.9975,0.985,0.97,0.9525,0.855,0.8175,0.69,0.4525,0.28,0.1275,0.1125,0.0625,0.09,0.055,0.02,0.025,0.0075,0.0225,0.005,0.015
25,0.9975,0.9925,0.9975,0.985,0.9625,0.935,0.8475,0.6425,0.5175,0.3325,0.225,0.1475,0.075,0.0575,0.035,0.0525,0.03,0.015,0.025,0.025,0.0125
26,0.995,1.0,0.9975,0.9775,0.97,0.92,0.9125,0.72,0.59,0.4525,0.31,0.14,0.1225,0.0775,0.065,0.0625,0.04,0.025,0.0225,0.0175,0.0225
27,0.995,0.995,0.9925,0.99,0.98,0.9575,0.8925,0.8125,0.665,0.39,0.34,0.2625,0.1375,0.0925,0.0975,0.08,0.01,0.005,0.0375,0.025,0.0225
28,0.995,0.9975,0.9975,0.99,0.99,0.9375,0.915,0.8275,0.6975,0.5175,0.345,0.31,0.195,0.1125,0.1025,0.0875,0.08,0.045,0.0525,0.04,0.05
29,1.0,0.9975,0.9975,0.995,0.9875,0.9725,0.9275,0.815,0.7225,0.6,0.425,0.3075,0.2175,0.1775,0.1275,0.09,0.05,0.06,0.08,0.045,0.0375
30,0.9975,0.9975,0.9975,0.9925,0.9825,0.975,0.95,0.8925,0.82,0.7125,0.44,0.3525,0.2225,0.19,0.1525,0.095,0.055,0.0875,0.05,0.0475,0.075
31,0.9975,1.0,0.995,0.9975,0.9975,0.99,0.975,0.9325,0.84,0.7375,0.585,0.3775,0.2425,0.2375,0.2175,0.1275,0.095,0.1075,0.025,0.0725,0.1075
32,1.0,0.995,0.9975,1.0,0.9975,0.9825,0.95,0.925,0.9,0.7725,0.625,0.42,0.4,0.2125,0.1975,0.16,0.15,0.065,0.0775,0.095,0.11
33,0.9975,1.0,0.9975,0.9925,0.9925,0.985,0.9825,0.96,0.895,0.7775,0.7025,0.5175,0.4075,0.355,0.2175,0.1675,0.13,0.1275,0.1175,0.075,0.095
34,0.9975,1.0,0.9975,1.0,0.9925,0.9875,0.9725,0.93,0.8925,0.84,0.76,0.58,0.465,0.4025,0.26,0.205,0.155,0.125,0.1625,0.1575,0.1075
