,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0025,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.005,0.0,0.0,0.0025,0.0025,0.0,0.005,0.0,0.0,0.0,0.0,0.0
2,0.0025,0.0025,0.005,0.0025,0.005,0.0025,0.005,0.005,0.0075,0.0025,0.0075,0.0,0.0,0.0,0.0,0.0,0.0025,0.005,0.0075,0.0,0.0
3,0.005,0.0025,0.0025,0.005,0.005,0.0025,0.005,0.015,0.0,0.0,0.0025,0.0075,0.005,0.005,0.0025,0.0,0.0,0.015,0.0,0.0025,0.005
4,0.01,0.0075,0.0125,0.015,0.015,0.01,0.0225,0.0125,0.015,0.01,0.02,0.015,0.0025,0.01,0.025,0.01,0.015,0.01,0.0225,0.01,0.015
5,0.0125,0.025,0.03,0.0125,0.0125,0.0275,0.0325,0.025,0.0275,0.0225,0.0475,0.0275,0.0275,0.035,0.0225,0.02,0.015,0.0375,0.035,0.0125,0.045
6,0.025,0.015,0.0325,0.045,0.035,0.0725,0.035,0.0425,0.0425,0.0275,0.035,0.03,0.0425,0.0325,0.0325,0.0425,0.025,0.055,0.0425,0.0475,0.045
7,0.0425,0.055,0.055,0.0375,0.0375,0.0525,0.0325,0.0375,0.055,0.0475,0.0375,0.06,0.05,0.0275,0.0375,0.03,0.0575,0.01,0.0625,0.045,0.0475
8,0.0475,0.03,0.0475,0.05,0.0425,0.07,0.0275,0.035,0.035,0.02,0.0525,0.035,0.0275,0.035,0.02,0.05,0.035,0.0325,0.0475,0.025,0.03
9,0.08,0.0725,0.0725,0.07,0.0725,0.0575,0.0375,0.0325,0.0225,0.06,0.04,0.04,0.025,0.0125,0.035,0.0075,0.0325,0.0175,0.0175,0.025,0.02
10,0.0725,0.0525,0.0375,0.0425,0.0475,0.06,0.035,0.055,0.0375,0.03,0.035,0.035,0.0225,0.0275,0.015,0.005,0.045,0.005,0.0225,0.01,0.0075
11,0.0675,0.0575,0.05,0.06,0.07,0.025,0.0475,0.05,0.045,0.0325,0.04,0.04,0.0475,0.035,0.0425,0.01,0.0125,0.0225,0.0225,0.02,0.0225
12,0.07,0.045,0.06,0.0425,0.045,0.0475,0.0425,0.04,0.03,0.0425,0.045,0.0225,0.045,0.0375,0.02,0.03,0.03,0.01,0.015,0.0175,0.045
13,0.0575,0.07,0.08,0.04,0.0425,0.035,0.0425,0.0625,0.0475,0.02,0.0325,0.015,0.0225,0.0225,0.03,0.0275,0.0175,0.01,0.045,0.0075,0.0225
14,0.05,0.0825,0.045,0.055,0.045,0.0425,0.035,0.04,0.0375,0.015,0.0375,0.01,0.0375,0.015,0.035,0.03,0.0125,0.025,0.0175,0.0175,0.04
15,0.0575,0.07,0.0475,0.0575,0.055,0.045,0.0525,0.035,0.03,0.0175,0.0225,0.04,0.03,0.0325,0.02,0.035,0.0175,0.03,0.02,0.0125,0.0125
16,0.045,0.0775,0.065,0.0525,0.035,0.0525,0.055,0.0575,0.0475,0.02,0.015,0.0425,0.04,0.04,0.0325,0.035,0.0325,0.025,0.01,0.0275,0.0475
17,0.0575,0.0475,0.065,0.03,0.06,0.045,0.055,0.04,0.0275,0.0175,0.0325,0.02,0.0225,0.0275,0.015,0.0175,0.015,0.03,0.03,0.0225,0.025
18,0.0575,0.065,0.075,0.0875,0.0575,0.045,0.05,0.03,0.0325,0.05,0.0275,0.0375,0.025,0.0225,0.035,0.0225,0.05,0.02,0.0325,0.03,0.0275
