,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0025,0.005,0.005,0.0075,0.005,0.0,0.0025,0.01,0.005,0.0125,0.0075,0.005,0.0025,0.005,0.005,0.0025,0.0125,0.0,0.0025,0.01,0.0125
1,0.0275,0.0325,0.0325,0.0375,0.0325,0.035,0.0375,0.0425,0.0325,0.0325,0.045,0.0475,0.0375,0.0575,0.045,0.03,0.0575,0.07,0.0225,0.045,0.06
2,0.1375,0.09,0.1175,0.115,0.135,0.145,0.16,0.1825,0.1425,0.1775,0.1525,0.1725,0.1725,0.1825,0.225,0.1775,0.2,0.1825,0.1425,0.1075,0.22
3,0.3325,0.28,0.3125,0.345,0.3275,0.3725,0.39,0.4,0.3775,0.335,0.4425,0.4775,0.46,0.5,0.39,0.4175,0.41,0.405,0.38,0.425,0.4225
4,0.5325,0.56,0.5525,0.5575,0.6025,0.5975,0.64,0.6075,0.6575,0.6375,0.64,0.6425,0.645,0.625,0.67,0.655,0.68,0.585,0.5775,0.655,0.6525
5,0.65,0.68,0.6875,0.7375,0.7275,0.76,0.7375,0.7375,0.71,0.7675,0.7775,0.7575,0.7325,0.7075,0.7275,0.745,0.7825,0.68,0.77,0.715,0.7775
6,0.79,0.7275,0.83,0.8275,0.83,0.83,0.8775,0.89,0.875,0.8225,0.84,0.83,0.8375,0.8175,0.765,0.815,0.8175,0.8075,0.7525,0.785,0.855
7,0.7975,0.8625,0.85,0.865,0.885,0.9,0.8925,0.9125,0.88,0.89,0.8925,0.87,0.83,0.875,0.8775,0.8375,0.785,0.88,0.8075,0.875,0.885
8,0.855,0.8625,0.8825,0.8975,0.92,0.915,0.89,0.9075,0.8875,0.9425,0.93,0.9475,0.9125,0.9125,0.9325,0.9075,0.86,0.885,0.88,0.8575,0.82
9,0.865,0.8775,0.8875,0.925,0.935,0.94,0.9175,0.94,0.95,0.91,0.9125,0.925,0.96,0.9225,0.8925,0.8875,0.895,0.9,0.93,0.95,0.865
10,0.8925,0.93,0.9275,0.9275,0.93,0.93,0.96,0.955,0.95,0.9625,0.955,0.96,0.96,0.9375,0.945,0.955,0.895,0.93,0.9525,0.955,0.9375
11,0.91,0.9175,0.9175,0.9525,0.97,0.9575,0.9675,0.97,0.945,0.95,0.965,0.955,0.98,0.9675,0.9575,0.97,0.9525,0.96,0.9225,0.9525,0.96
12,0.925,0.94,0.96,0.95,0.9725,0.9625,0.965,0.955,0.985,0.955,0.9625,0.94,0.97,0.9625,0.97,0.9725,0.9725,0.9575,0.9225,0.9425,0.9375
13,0.965,0.9325,0.9475,0.9675,0.9725,0.9575,0.95,0.9725,0.9675,0.9875,0.965,0.9675,0.9575,0.975,0.975,0.965,0.9675,0.9575,0.985,0.975,0.9775
14,0.9325,0.9575,0.975,0.9525,0.9775,0.98,0.9725,0.975,0.9825,0.97,0.98,0.98,0.985,0.985,0.9825,0.9725,0.97,0.98,0.9625,0.9875,0.9775
