,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0025,0.0,0.0025,0.0
1,0.0,0.0,0.0,0.0,0.0025,0.0,0.0025,0.0025,0.0025,0.0,0.0025,0.0,0.0025,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0025,0.0025,0.0,0.0025,0.0,0.005,0.005,0.0025,0.0025,0.0025,0.0025,0.0025,0.005,0.0,0.0,0.0,0.0,0.005,0.01,0.0
3,0.005,0.01,0.005,0.0025,0.0025,0.0125,0.005,0.0,0.005,0.0025,0.0075,0.005,0.0075,0.005,0.0025,0.0,0.0025,0.0025,0.0025,0.0025,0.005
4,0.0075,0.0125,0.01,0.005,0.0125,0.01,0.0125,0.005,0.0075,0.0175,0.0125,0.005,0.015,0.005,0.0175,0.0075,0.0075,0.0025,0.015,0.0125,0.0075
5,0.015,0.035,0.02,0.0225,0.0275,0.0275,0.025,0.035,0.04,0.025,0.02,0.035,0.0225,0.0325,0.03,0.025,0.0375,0.0375,0.02,0.03,0.02
6,0.0275,0.0325,0.03,0.055,0.045,0.0275,0.05,0.0375,0.05,0.07,0.0675,0.04,0.0525,0.0275,0.0325,0.055,0.04,0.0575,0.03,0.055,0.085
7,0.06,0.055,0.05,0.055,0.045,0.0475,0.0425,0.05,0.06,0.07,0.0375,0.0625,0.0625,0.0225,0.025,0.0925,0.0575,0.0525,0.0775,0.0675,0.0775
8,0.045,0.0525,0.0425,0.05,0.075,0.055,0.0575,0.0675,0.0375,0.0625,0.0825,0.05,0.06,0.0725,0.06,0.0375,0.065,0.075,0.085,0.0925,0.125
9,0.0475,0.07,0.0575,0.055,0.065,0.065,0.0625,0.0475,0.0825,0.0775,0.0875,0.055,0.06,0.075,0.0925,0.055,0.075,0.0725,0.0875,0.075,0.0875
10,0.025,0.055,0.055,0.055,0.065,0.065,0.0525,0.0575,0.07,0.035,0.0925,0.0675,0.065,0.0625,0.0525,0.0975,0.0825,0.0625,0.0725,0.08,0.1525
11,0.05,0.0525,0.04,0.08,0.0425,0.065,0.08,0.07,0.08,0.0775,0.0675,0.0425,0.07,0.0475,0.105,0.0825,0.1225,0.0975,0.0925,0.09,0.0725
12,0.045,0.075,0.0575,0.06,0.07,0.0575,0.095,0.0575,0.0725,0.065,0.0625,0.065,0.0775,0.0675,0.065,0.07,0.07,0.085,0.075,0.0525,0.105
13,0.0725,0.0675,0.065,0.0525,0.0375,0.0575,0.0625,0.075,0.0575,0.065,0.0725,0.0825,0.06,0.07,0.08,0.0475,0.0725,0.075,0.1,0.1375,0.08
14,0.0675,0.09,0.05,0.075,0.055,0.0875,0.0425,0.065,0.07,0.0775,0.055,0.0675,0.075,0.05,0.065,0.0575,0.0675,0.0975,0.08,0.055,0.075
15,0.05,0.055,0.0475,0.0525,0.06,0.055,0.0575,0.0725,0.065,0.0425,0.065,0.0725,0.085,0.0675,0.09,0.085,0.0525,0.04,0.08,0.12,0.105
16,0.05,0.0575,0.0475,0.065,0.09,0.07,0.08,0.0875,0.065,0.0475,0.0775,0.045,0.1025,0.0675,0.075,0.12,0.0875,0.075,0.0675,0.0575,0.115
17,0.0525,0.0675,0.0775,0.0425,0.035,0.07,0.0475,0.065,0.0425,0.07,0.07,0.0725,0.085,0.0675,0.0475,0.05,0.12,0.0775,0.095,0.0575,0.115
18,0.06,0.065,0.055,0.0675,0.0525,0.05,0.085,0.0425,0.06,0.06,0.0575,0.09,0.0825,0.075,0.0475,0.085,0.115,0.095,0.075,0.1,0.09
19,0.05,0.0525,0.05,0.0625,0.08,0.0775,0.0625,0.06,0.045,0.0775,0.07,0.085,0.0875,0.075,0.0575,0.055,0.07,0.075,0.0825,0.1,0.0725
20,0.07,0.0775,0.04,0.0475,0.055,0.065,0.0525,0.0525,0.06,0.06,0.055,0.1025,0.085,0.085,0.0475,0.075,0.0825,0.105,0.085,0.0975,0.06
21,0.0675,0.04,0.07,0.0575,0.045,0.055,0.065,0.0425,0.055,0.075,0.05,0.065,0.055,0.0725,0.06,0.085,0.105,0.0575,0.0625,0.1025,0.09
