,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0,0.005,0.0,0.0,0.015,0.01,0.01,0.01,0.02,0.015,0.01,0.005,0.01,0.025,0.02,0.0,0.01,0.015,0.02,0.01,0.025
1,0.03,0.025,0.015,0.015,0.055,0.015,0.03,0.075,0.045,0.045,0.07,0.06,0.075,0.09,0.09,0.11,0.065,0.12,0.085,0.105,0.09
2,0.09,0.075,0.08,0.115,0.065,0.165,0.2,0.23,0.235,0.275,0.345,0.3,0.31,0.26,0.265,0.32,0.285,0.215,0.24,0.26,0.34
3,0.18,0.15,0.23,0.29,0.375,0.405,0.54,0.625,0.595,0.635,0.75,0.605,0.635,0.755,0.62,0.625,0.625,0.55,0.565,0.645,0.595
4,0.195,0.3,0.485,0.585,0.735,0.86,0.88,0.825,0.86,0.79,0.845,0.885,0.89,0.865,0.87,0.835,0.83,0.875,0.86,0.76,0.71
5,0.25,0.325,0.64,0.81,0.92,0.945,0.98,0.975,0.99,0.985,0.975,0.975,1.0,0.97,0.975,0.96,0.97,0.96,0.92,0.92,0.93
6,0.18,0.39,0.74,0.91,0.975,0.98,0.99,1.0,0.985,1.0,0.99,1.0,1.0,0.98,1.0,0.99,0.98,0.98,0.97,0.985,0.96
7,0.165,0.34,0.675,0.88,0.99,0.995,0.99,1.0,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
8,0.155,0.28,0.69,0.875,0.97,0.995,0.995,1.0,1.0,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.14,0.325,0.65,0.88,0.96,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.11,0.25,0.615,0.83,0.96,0.98,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.07,0.25,0.53,0.86,0.955,0.985,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.065,0.205,0.515,0.765,0.92,0.98,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.035,0.15,0.535,0.805,0.935,0.99,1.0,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.05,0.19,0.435,0.71,0.91,0.98,0.995,0.995,0.99,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.05,0.165,0.415,0.7,0.895,0.97,0.995,1.0,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.04,0.125,0.325,0.685,0.845,0.96,0.99,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.03,0.095,0.285,0.61,0.79,0.965,0.97,0.995,1.0,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0.005,0.06,0.23,0.605,0.775,0.935,0.98,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,0.01,0.04,0.13,0.455,0.785,0.955,0.98,0.995,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.015,0.035,0.14,0.45,0.79,0.91,0.95,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0,1.0
21,0.015,0.04,0.145,0.4,0.645,0.885,0.95,0.985,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,0.015,0.035,0.095,0.32,0.665,0.945,0.96,0.985,0.99,1.0,1.0,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0
23,0.015,0.025,0.14,0.25,0.58,0.8,0.93,0.975,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,0.005,0.025,0.055,0.31,0.545,0.82,0.9,0.965,0.995,0.985,1.0,0.995,1.0,0.995,1.0,0.995,1.0,1.0,1.0,1.0,1.0
25,0.015,0.005,0.04,0.135,0.55,0.77,0.915,0.945,0.99,0.985,1.0,1.0,1.0,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0
26,0.0,0.01,0.065,0.15,0.51,0.725,0.87,0.95,0.995,0.99,0.995,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,0.0,0.005,0.045,0.15,0.415,0.675,0.91,0.98,0.975,0.995,0.995,1.0,1.0,0.995,1.0,1.0,0.995,1.0,0.995,1.0,1.0
28,0.005,0.02,0.045,0.12,0.355,0.6,0.865,0.965,0.975,1.0,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,0.0,0.0,0.01,0.11,0.275,0.575,0.77,0.91,0.97,0.98,1.0,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0
30,0.0,0.005,0.015,0.085,0.225,0.54,0.8,0.915,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995,1.0,1.0,1.0
31,0.0,0.005,0.01,0.085,0.225,0.48,0.795,0.83,0.92,0.98,0.99,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,0.0,0.0,0.02,0.065,0.215,0.38,0.725,0.805,0.96,0.94,0.99,0.99,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,0.0,0.005,0.025,0.03,0.16,0.36,0.655,0.855,0.955,0.955,0.97,0.995,0.99,1.0,0.995,0.995,0.995,0.995,1.0,1.0,1.0
34,0.0,0.005,0.01,0.05,0.125,0.31,0.59,0.81,0.9,0.945,0.985,1.0,0.99,1.0,1.0,0.995,0.99,1.0,1.0,1.0,1.0
35,0.0,0.005,0.01,0.05,0.115,0.31,0.55,0.76,0.915,0.94,0.985,0.975,0.985,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,0.0,0.005,0.0,0.025,0.095,0.3,0.585,0.705,0.87,0.925,0.985,0.98,0.99,1.0,0.995,0.99,1.0,1.0,1.0,1.0,1.0
37,0.0,0.0,0.005,0.035,0.075,0.205,0.515,0.705,0.83,0.9,0.935,0.985,0.995,1.0,0.995,0.985,1.0,1.0,1.0,1.0,1.0
38,0.0,0.0,0.0,0.015,0.035,0.15,0.38,0.625,0.79,0.875,0.96,0.965,1.0,0.99,0.995,0.995,1.0,0.995,1.0,1.0,1.0
39,0.0,0.0,0.01,0.025,0.05,0.145,0.325,0.565,0.785,0.85,0.93,0.955,0.97,0.98,0.99,0.995,0.995,1.0,1.0,1.0,1.0
