,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
2,0.005,0.0,0.0,0.01,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.005,0.005
3,0.005,0.005,0.0,0.005,0.0,0.005,0.0,0.01,0.0,0.01,0.02,0.0,0.025,0.0,0.01,0.03,0.0,0.01,0.005,0.015,0.02
4,0.005,0.015,0.02,0.01,0.01,0.005,0.01,0.025,0.02,0.015,0.03,0.03,0.05,0.04,0.045,0.065,0.07,0.1,0.065,0.04,0.085
5,0.02,0.015,0.03,0.025,0.05,0.03,0.05,0.05,0.085,0.135,0.1,0.09,0.135,0.195,0.16,0.2,0.23,0.24,0.255,0.185,0.225
6,0.03,0.04,0.05,0.075,0.1,0.1,0.105,0.24,0.25,0.28,0.355,0.32,0.475,0.44,0.385,0.365,0.41,0.48,0.41,0.385,0.425
7,0.08,0.055,0.07,0.095,0.12,0.255,0.295,0.445,0.43,0.52,0.465,0.57,0.565,0.5,0.67,0.6,0.59,0.695,0.58,0.62,0.62
8,0.05,0.105,0.13,0.17,0.19,0.355,0.36,0.485,0.595,0.635,0.6,0.725,0.76,0.775,0.76,0.785,0.77,0.76,0.765,0.78,0.8
9,0.04,0.09,0.135,0.155,0.255,0.36,0.595,0.655,0.675,0.72,0.8,0.815,0.87,0.82,0.8,0.83,0.835,0.81,0.85,0.855,0.88
10,0.085,0.07,0.11,0.235,0.325,0.49,0.57,0.67,0.7,0.775,0.74,0.825,0.8,0.875,0.875,0.885,0.87,0.84,0.89,0.855,0.91
11,0.05,0.095,0.145,0.265,0.325,0.5,0.605,0.69,0.72,0.77,0.795,0.8,0.765,0.89,0.85,0.86,0.78,0.88,0.87,0.875,0.885
12,0.09,0.055,0.145,0.225,0.345,0.445,0.605,0.615,0.76,0.775,0.81,0.83,0.85,0.86,0.83,0.895,0.87,0.915,0.91,0.905,0.915
13,0.06,0.075,0.105,0.24,0.375,0.53,0.565,0.645,0.75,0.81,0.825,0.86,0.85,0.835,0.895,0.93,0.89,0.885,0.87,0.87,0.915
14,0.085,0.065,0.15,0.285,0.305,0.415,0.595,0.705,0.755,0.805,0.76,0.83,0.9,0.85,0.885,0.825,0.89,0.89,0.91,0.875,0.93
15,0.075,0.085,0.16,0.225,0.355,0.425,0.55,0.675,0.72,0.72,0.815,0.79,0.83,0.86,0.85,0.91,0.83,0.88,0.865,0.91,0.88
16,0.055,0.095,0.13,0.17,0.305,0.4,0.56,0.71,0.8,0.785,0.815,0.81,0.875,0.79,0.835,0.875,0.92,0.91,0.92,0.89,0.895
17,0.09,0.095,0.11,0.205,0.34,0.49,0.62,0.7,0.745,0.74,0.785,0.815,0.895,0.82,0.88,0.855,0.89,0.905,0.87,0.88,0.88
18,0.045,0.075,0.14,0.225,0.305,0.485,0.665,0.665,0.73,0.765,0.845,0.765,0.82,0.875,0.87,0.86,0.86,0.925,0.9,0.885,0.95
19,0.035,0.075,0.11,0.2,0.32,0.42,0.57,0.615,0.75,0.815,0.79,0.835,0.855,0.88,0.855,0.895,0.89,0.92,0.925,0.9,0.96
20,0.075,0.13,0.16,0.2,0.335,0.51,0.565,0.61,0.72,0.785,0.865,0.885,0.89,0.825,0.88,0.93,0.875,0.835,0.855,0.895,0.885
