,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.01,0.005,0.0,0.005,0.005,0.0,0.0,0.0,0.005,0.005,0.0
3,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.005,0.01,0.005,0.005,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.01,0.01
4,0.015,0.005,0.015,0.005,0.025,0.015,0.015,0.005,0.01,0.01,0.005,0.005,0.005,0.005,0.025,0.02,0.02,0.005,0.015,0.0,0.03
5,0.01,0.02,0.045,0.03,0.02,0.04,0.02,0.05,0.005,0.025,0.045,0.055,0.025,0.03,0.03,0.035,0.01,0.055,0.04,0.05,0.07
6,0.05,0.02,0.055,0.035,0.055,0.07,0.02,0.04,0.075,0.06,0.04,0.105,0.105,0.125,0.12,0.115,0.13,0.085,0.12,0.165,0.15
7,0.055,0.05,0.055,0.075,0.055,0.09,0.1,0.07,0.1,0.135,0.12,0.125,0.16,0.185,0.285,0.28,0.19,0.255,0.26,0.32,0.315
8,0.08,0.04,0.075,0.095,0.055,0.115,0.13,0.11,0.17,0.155,0.25,0.215,0.27,0.23,0.315,0.34,0.335,0.3,0.43,0.35,0.45
9,0.06,0.05,0.1,0.06,0.14,0.09,0.135,0.15,0.15,0.195,0.305,0.225,0.255,0.34,0.41,0.405,0.485,0.515,0.44,0.59,0.515
10,0.055,0.09,0.05,0.1,0.075,0.145,0.18,0.115,0.235,0.18,0.25,0.3,0.355,0.345,0.385,0.515,0.445,0.585,0.515,0.61,0.58
