,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.005,0.01,0.01,0.005,0.015,0.0,0.005,0.0,0.0,0.015,0.015,0.0,0.005,0.01,0.015,0.02,0.025,0.015,0.005,0.005,0.005
1,0.01,0.015,0.02,0.015,0.02,0.025,0.04,0.035,0.04,0.06,0.1,0.07,0.09,0.055,0.05,0.065,0.06,0.065,0.05,0.09,0.085
2,0.08,0.08,0.045,0.06,0.055,0.09,0.11,0.08,0.145,0.14,0.165,0.205,0.21,0.2,0.165,0.325,0.195,0.275,0.265,0.255,0.205
3,0.17,0.175,0.16,0.24,0.225,0.29,0.285,0.325,0.31,0.38,0.395,0.345,0.33,0.465,0.385,0.43,0.29,0.405,0.445,0.395,0.465
4,0.205,0.235,0.27,0.325,0.36,0.445,0.51,0.475,0.615,0.61,0.62,0.625,0.65,0.64,0.64,0.7,0.66,0.675,0.71,0.66,0.63
5,0.15,0.26,0.265,0.43,0.495,0.54,0.6,0.72,0.665,0.69,0.775,0.725,0.805,0.825,0.885,0.795,0.86,0.855,0.905,0.86,0.83
6,0.165,0.19,0.275,0.36,0.46,0.64,0.78,0.75,0.825,0.87,0.835,0.93,0.895,0.905,0.875,0.94,0.94,0.97,0.98,0.905,0.93
7,0.185,0.205,0.225,0.425,0.535,0.685,0.785,0.81,0.88,0.81,0.95,0.955,0.935,0.95,0.955,0.905,0.96,0.98,0.95,0.97,0.95
8,0.125,0.2,0.2,0.395,0.4,0.575,0.715,0.8,0.87,0.925,0.95,0.975,0.98,0.955,0.98,0.995,0.98,0.98,0.99,0.98,0.98
9,0.145,0.15,0.255,0.245,0.475,0.51,0.67,0.8,0.81,0.935,0.925,0.955,0.985,0.97,0.99,0.97,0.97,0.99,0.99,0.97,1.0
10,0.095,0.11,0.235,0.25,0.33,0.57,0.535,0.69,0.76,0.89,0.925,0.965,0.94,0.97,1.0,0.97,1.0,0.985,1.0,0.99,1.0
11,0.1,0.105,0.125,0.22,0.25,0.435,0.55,0.685,0.71,0.775,0.82,0.93,0.92,0.985,0.975,0.98,0.985,0.99,0.99,1.0,1.0
12,0.085,0.095,0.12,0.155,0.21,0.36,0.475,0.61,0.755,0.83,0.86,0.895,0.895,0.94,0.975,0.975,0.99,0.995,1.0,1.0,0.995
