,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.005,0.005,0.005,0.01,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.01,0.0,0.005,0.0,0.0,0.015,0.01,0.01,0.01
3,0.01,0.005,0.005,0.005,0.015,0.0,0.005,0.01,0.0,0.01,0.015,0.01,0.005,0.01,0.015,0.005,0.0,0.0,0.025,0.05,0.0
4,0.025,0.015,0.02,0.01,0.01,0.03,0.025,0.02,0.005,0.03,0.01,0.025,0.045,0.035,0.015,0.02,0.055,0.095,0.045,0.045,0.035
5,0.03,0.02,0.025,0.015,0.035,0.02,0.05,0.03,0.025,0.055,0.06,0.075,0.08,0.065,0.085,0.12,0.07,0.115,0.09,0.135,0.115
6,0.03,0.035,0.065,0.03,0.06,0.09,0.075,0.08,0.125,0.13,0.095,0.16,0.21,0.19,0.295,0.185,0.2,0.205,0.34,0.22,0.235
7,0.04,0.065,0.08,0.065,0.105,0.11,0.095,0.135,0.215,0.2,0.33,0.265,0.31,0.435,0.33,0.31,0.355,0.4,0.395,0.41,0.32
8,0.06,0.07,0.125,0.065,0.14,0.135,0.185,0.255,0.24,0.34,0.285,0.33,0.36,0.51,0.505,0.435,0.425,0.47,0.47,0.515,0.44
9,0.025,0.065,0.125,0.14,0.115,0.17,0.265,0.205,0.285,0.325,0.32,0.44,0.525,0.505,0.555,0.51,0.585,0.575,0.61,0.685,0.575
10,0.09,0.08,0.08,0.12,0.12,0.115,0.18,0.295,0.33,0.43,0.4,0.49,0.46,0.495,0.555,0.46,0.585,0.56,0.69,0.63,0.665
11,0.045,0.065,0.105,0.11,0.1,0.15,0.255,0.27,0.33,0.36,0.415,0.5,0.45,0.455,0.505,0.565,0.615,0.685,0.675,0.665,0.67
12,0.04,0.075,0.08,0.085,0.12,0.16,0.2,0.19,0.295,0.345,0.42,0.38,0.46,0.53,0.555,0.625,0.615,0.605,0.64,0.585,0.775
13,0.065,0.065,0.085,0.09,0.175,0.145,0.185,0.265,0.32,0.4,0.36,0.45,0.55,0.525,0.525,0.635,0.66,0.63,0.74,0.665,0.645
14,0.085,0.065,0.12,0.1,0.14,0.12,0.2,0.295,0.31,0.345,0.315,0.49,0.48,0.4,0.52,0.555,0.525,0.66,0.64,0.67,0.67
15,0.06,0.055,0.095,0.1,0.11,0.155,0.245,0.245,0.275,0.375,0.39,0.44,0.5,0.545,0.52,0.485,0.56,0.595,0.545,0.61,0.59
16,0.05,0.07,0.075,0.085,0.145,0.16,0.195,0.26,0.315,0.44,0.41,0.465,0.53,0.54,0.585,0.59,0.625,0.65,0.555,0.665,0.68
17,0.095,0.065,0.095,0.095,0.135,0.115,0.17,0.31,0.32,0.37,0.375,0.53,0.51,0.51,0.515,0.59,0.67,0.635,0.66,0.605,0.69
18,0.075,0.055,0.165,0.095,0.12,0.18,0.225,0.23,0.35,0.32,0.435,0.435,0.53,0.5,0.45,0.605,0.655,0.655,0.66,0.625,0.61
