Count,Tasks,E1,E2
1,9,1,1
2,9,1,1
3,9,1,1
4,9,1,1
5,9,1,1
6,9,1,1
7,9,1,1
8,9,1,1
9,9,1,1
10,9,1,1
11,9,1,1
12,9,1,1
13,9,1,1
14,9,1,1
15,9,1,1
16,9,1,1
17,9,1,1
18,9,1,1
19,9,1,1
20,9,1,1
21,9,1,1
22,9,1,1
23,9,1,1
24,9,1,1
25,9,1,1
26,9,1,1
27,9,1,1
28,9,1,1
29,9,1,1
30,9,1,1
31,9,1,0
1,9,1,1
2,9,1,1
3,9,1,1
4,9,1,1
5,9,1,1
6,9,1,1
7,9,1,1
8,9,1,1
9,9,1,1
10,9,1,1
11,9,1,1
12,9,1,1
13,9,1,1
14,9,1,1
15,9,1,1
16,9,1,1
17,9,1,1
18,9,1,1
19,9,1,1
20,9,1,1
21,9,1,1
22,9,1,1
23,9,1,1
24,9,1,1
25,9,1,1
26,9,1,1
27,9,1,1
28,9,1,1
29,9,1,1
30,9,1,1
31,9,1,1
32,9,1,1
33,9,1,1
34,9,1,1
35,9,1,1
36,9,1,1
37,9,1,1
38,9,1,1
39,9,1,1
40,9,1,1
41,9,1,1
42,9,1,1
1,9,1,1
2,9,1,1
3,9,1,1
4,9,1,1
5,9,1,1
6,9,1,1
7,9,1,1
8,9,1,1
9,9,1,1
10,9,1,1
11,9,1,1
12,9,1,1
13,9,1,1
14,9,1,1
15,9,1,1
16,9,1,1
17,9,1,1
18,9,1,1
19,9,1,1
20,9,1,1
21,9,1,1
22,9,1,1
23,9,1,1
24,9,1,1
25,9,1,1
26,9,1,1
27,9,1,1
28,9,1,1
29,9,1,1
30,9,1,1
31,9,1,1
32,9,1,1
33,9,1,1
34,9,1,1
35,9,1,1
36,9,1,1
37,9,1,1
38,9,1,1
39,9,1,1
1,2,1,1
2,2,1,1
3,2,1,1
4,2,1,1
5,2,1,1
6,2,1,1
7,2,1,1
8,2,1,1
9,2,1,1
10,2,1,0
11,2,1,0
12,2,1,0
13,2,0,0
14,2,0,0
15,2,0,0
1,2,1,1
2,2,1,1
3,2,1,1
4,2,1,1
5,2,1,1
6,2,1,1
7,2,1,0
8,2,1,0
9,2,1,0
10,2,1,0
11,2,1,0
12,2,1,0
13,2,1,0
14,2,0,0
15,2,0,0
16,2,0,0
17,2,0,0
18,2,0,0
1,2,1,1
2,2,1,1
3,2,1,1
4,2,1,1
5,2,1,1
6,2,1,1
7,2,1,1
8,2,1,1
9,2,1,1
10,2,1,1
11,2,1,1
12,2,1,1
13,2,1,1
14,2,1,1
15,2,1,1
16,2,1,1
17,2,1,1
18,2,1,0
19,2,1,0
20,2,1,0
21,2,0,0
22,2,0,0
23,2,0,0
24,2,0,0
25,2,0,0
26,2,0,0
27,2,0,0
1,2,1,1
2,2,1,1
3,2,1,1
4,2,1,1
5,2,1,1
6,2,1,1
7,2,1,1
8,2,1,1
9,2,1,1
10,2,1,1
11,2,1,1
12,2,1,1
13,2,1,1
14,2,1,1
15,2,1,0
16,2,1,0
17,2,1,0
18,2,1,0
19,2,0,0
20,2,0,0
21,2,0,0
22,2,0,0
23,2,0,0
1,2,1,1
2,2,1,1
3,2,1,1
4,2,1,1
5,2,1,1
6,2,1,1
7,2,1,1
8,2,1,1
9,2,1,1
10,2,1,1
11,2,1,1
12,2,1,1
13,2,1,1
14,2,1,0
15,2,1,0
16,2,1,0
17,2,0,0
18,2,0,0
19,2,0,0
20,2,0,0
21,2,0,0
22,2,0,0
23,2,0,0
24,2,0,0
25,2,0,0
