,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.005,0.005,0.005,0.0,0.005,0.01,0.0,0.0,0.015,0.0,0.015,0.0,0.01,0.005,0.015,0.005,0.015,0.005,0.01,0.005,0.0
1,0.01,0.03,0.02,0.025,0.035,0.05,0.015,0.04,0.035,0.025,0.05,0.045,0.04,0.055,0.035,0.05,0.04,0.115,0.04,0.05,0.105
2,0.05,0.055,0.085,0.1,0.075,0.11,0.115,0.115,0.105,0.14,0.17,0.18,0.2,0.17,0.19,0.22,0.295,0.23,0.225,0.26,0.195
3,0.135,0.18,0.15,0.225,0.2,0.295,0.315,0.33,0.38,0.435,0.43,0.47,0.505,0.505,0.455,0.475,0.445,0.515,0.525,0.58,0.535
4,0.18,0.27,0.33,0.385,0.4,0.46,0.61,0.725,0.64,0.735,0.725,0.755,0.74,0.775,0.765,0.68,0.795,0.75,0.73,0.785,0.685
5,0.25,0.24,0.425,0.505,0.65,0.785,0.84,0.825,0.875,0.92,0.92,0.935,0.935,0.92,0.92,0.985,0.945,0.93,0.93,0.93,0.94
6,0.17,0.28,0.46,0.565,0.73,0.835,0.8,0.94,0.96,0.96,0.975,0.975,0.99,0.98,0.98,0.98,0.99,0.985,0.97,0.98,0.97
7,0.13,0.24,0.42,0.53,0.695,0.855,0.895,0.965,0.955,0.975,0.995,0.995,0.99,0.995,0.995,1.0,1.0,1.0,0.995,1.0,1.0
8,0.14,0.195,0.35,0.53,0.68,0.815,0.895,0.955,0.995,0.995,0.995,0.995,1.0,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0
9,0.1,0.175,0.285,0.495,0.64,0.815,0.905,0.96,0.965,0.99,1.0,0.995,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.99
10,0.13,0.14,0.29,0.43,0.67,0.725,0.84,0.98,0.985,0.995,0.99,1.0,0.99,0.985,1.0,0.995,0.995,1.0,1.0,1.0,1.0
11,0.075,0.145,0.22,0.405,0.6,0.655,0.85,0.93,0.97,0.97,0.995,0.975,0.99,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0
12,0.05,0.105,0.165,0.34,0.535,0.765,0.775,0.94,0.955,0.985,0.995,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0
13,0.03,0.085,0.17,0.295,0.54,0.665,0.78,0.875,0.92,0.945,0.99,0.99,0.995,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0
14,0.025,0.07,0.13,0.27,0.425,0.59,0.745,0.88,0.93,0.965,0.975,0.985,0.985,1.0,0.995,0.995,1.0,1.0,1.0,1.0,1.0
15,0.005,0.07,0.095,0.22,0.415,0.61,0.8,0.855,0.91,0.945,0.98,1.0,0.99,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0
16,0.0,0.06,0.115,0.165,0.33,0.54,0.695,0.825,0.9,0.945,0.97,0.985,1.0,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0
17,0.005,0.06,0.09,0.175,0.31,0.475,0.625,0.815,0.865,0.93,0.94,0.995,0.98,0.99,1.0,0.995,1.0,1.0,0.995,1.0,1.0
18,0.01,0.025,0.045,0.145,0.175,0.4,0.58,0.79,0.885,0.935,0.985,0.98,0.985,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0
19,0.01,0.03,0.085,0.135,0.19,0.35,0.485,0.725,0.8,0.945,0.945,0.97,0.985,0.98,0.995,1.0,1.0,0.995,1.0,1.0,1.0
20,0.0,0.025,0.05,0.13,0.14,0.25,0.445,0.62,0.775,0.89,0.895,0.96,0.985,0.95,1.0,0.99,0.99,0.995,1.0,1.0,1.0
21,0.01,0.015,0.04,0.09,0.165,0.215,0.37,0.59,0.74,0.89,0.94,0.975,0.98,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,0.015,0.015,0.035,0.045,0.12,0.175,0.37,0.56,0.675,0.74,0.9,0.965,0.975,0.99,0.98,0.98,0.98,1.0,1.0,1.0,0.995
23,0.0,0.015,0.03,0.07,0.07,0.16,0.35,0.515,0.71,0.815,0.865,0.93,0.945,0.985,0.99,1.0,0.995,1.0,1.0,1.0,1.0
24,0.015,0.0,0.02,0.035,0.07,0.24,0.255,0.4,0.67,0.79,0.905,0.93,0.955,0.94,0.98,0.985,0.995,1.0,0.995,1.0,0.995
25,0.005,0.0,0.005,0.02,0.06,0.11,0.235,0.455,0.61,0.735,0.825,0.91,0.95,0.965,0.995,0.99,0.995,0.995,0.99,1.0,1.0
26,0.005,0.0,0.005,0.04,0.05,0.12,0.15,0.38,0.54,0.61,0.785,0.935,0.93,0.96,0.975,0.965,0.99,0.995,0.995,1.0,1.0
27,0.01,0.005,0.01,0.02,0.04,0.085,0.165,0.26,0.435,0.69,0.765,0.82,0.935,0.95,0.945,0.965,1.0,1.0,1.0,1.0,1.0
28,0.0,0.0,0.0,0.01,0.015,0.11,0.14,0.265,0.41,0.6,0.76,0.77,0.895,0.925,0.965,0.95,0.975,0.985,1.0,1.0,0.995
29,0.0,0.005,0.0,0.01,0.02,0.05,0.105,0.27,0.39,0.505,0.685,0.785,0.875,0.91,0.935,0.985,0.995,0.99,0.985,0.995,1.0
30,0.0,0.0,0.0,0.015,0.03,0.04,0.09,0.175,0.26,0.38,0.71,0.755,0.855,0.895,0.915,0.96,0.985,0.99,0.995,1.0,0.995
31,0.005,0.0,0.005,0.005,0.005,0.015,0.04,0.12,0.25,0.37,0.53,0.735,0.855,0.865,0.885,0.965,0.975,0.97,0.99,0.99,0.975
32,0.0,0.01,0.005,0.0,0.005,0.035,0.09,0.125,0.155,0.33,0.48,0.705,0.72,0.86,0.915,0.945,0.955,0.995,0.995,0.995,0.985
33,0.005,0.0,0.0,0.005,0.015,0.025,0.035,0.075,0.165,0.305,0.42,0.625,0.755,0.765,0.89,0.955,0.955,0.975,0.99,0.985,1.0
34,0.005,0.0,0.005,0.0,0.015,0.02,0.05,0.12,0.175,0.265,0.35,0.585,0.68,0.75,0.895,0.91,0.95,0.99,0.985,0.965,0.99
35,0.0,0.0,0.005,0.0,0.01,0.025,0.055,0.055,0.155,0.25,0.38,0.53,0.645,0.725,0.86,0.94,0.92,0.965,0.975,0.97,0.985
36,0.0,0.0,0.0,0.0,0.005,0.005,0.03,0.055,0.095,0.16,0.325,0.39,0.61,0.715,0.8,0.865,0.9,0.94,0.96,0.985,0.985
37,0.0,0.0,0.0,0.0,0.005,0.01,0.035,0.055,0.11,0.09,0.32,0.445,0.585,0.645,0.785,0.8,0.93,0.94,0.94,0.975,0.955
38,0.0,0.005,0.0,0.0,0.01,0.015,0.03,0.035,0.09,0.095,0.16,0.36,0.5,0.63,0.76,0.845,0.9,0.89,0.975,0.96,0.995
39,0.0,0.0,0.005,0.005,0.01,0.0,0.005,0.025,0.045,0.105,0.21,0.29,0.44,0.54,0.675,0.775,0.8,0.91,0.92,0.93,0.985
40,0.0,0.0,0.005,0.0,0.005,0.0,0.005,0.02,0.075,0.085,0.17,0.27,0.36,0.515,0.67,0.75,0.83,0.865,0.935,0.94,0.98
41,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.015,0.025,0.06,0.115,0.175,0.28,0.48,0.635,0.645,0.815,0.855,0.915,0.915,0.975
42,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.025,0.015,0.05,0.105,0.19,0.22,0.405,0.44,0.635,0.865,0.84,0.84,0.905,0.915
43,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.015,0.015,0.055,0.075,0.14,0.205,0.4,0.445,0.51,0.685,0.765,0.78,0.885,0.945
44,0.0,0.005,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.03,0.065,0.15,0.16,0.3,0.46,0.465,0.635,0.745,0.795,0.875,0.855
45,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.01,0.015,0.02,0.06,0.11,0.155,0.23,0.39,0.495,0.645,0.73,0.75,0.795,0.81
46,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.01,0.01,0.01,0.06,0.08,0.105,0.21,0.295,0.46,0.47,0.58,0.71,0.815,0.87
47,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.01,0.02,0.055,0.12,0.245,0.22,0.325,0.455,0.635,0.695,0.765,0.8
48,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.02,0.02,0.035,0.145,0.165,0.225,0.29,0.485,0.59,0.65,0.69,0.79
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.01,0.02,0.055,0.055,0.145,0.185,0.295,0.48,0.58,0.6,0.72,0.8
