,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0
2,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.01,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0
3,0.01,0.0,0.005,0.0,0.01,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.0,0.01,0.0,0.005,0.02,0.0,0.03
4,0.015,0.005,0.005,0.015,0.0,0.025,0.02,0.0,0.025,0.03,0.02,0.02,0.045,0.03,0.05,0.04,0.05,0.035,0.01,0.06,0.025
5,0.035,0.025,0.03,0.03,0.005,0.03,0.015,0.035,0.035,0.04,0.04,0.105,0.03,0.08,0.125,0.06,0.05,0.13,0.095,0.155,0.105
6,0.03,0.035,0.035,0.06,0.05,0.05,0.11,0.125,0.11,0.125,0.125,0.17,0.19,0.17,0.195,0.195,0.25,0.24,0.28,0.33,0.265
7,0.06,0.045,0.08,0.08,0.095,0.075,0.13,0.13,0.175,0.22,0.315,0.295,0.31,0.41,0.39,0.415,0.45,0.44,0.47,0.465,0.435
8,0.045,0.07,0.065,0.07,0.12,0.11,0.18,0.25,0.29,0.3,0.37,0.41,0.455,0.535,0.495,0.515,0.505,0.6,0.61,0.595,0.605
9,0.08,0.09,0.07,0.085,0.09,0.14,0.19,0.28,0.325,0.355,0.455,0.55,0.51,0.555,0.645,0.68,0.6,0.675,0.705,0.715,0.675
10,0.095,0.055,0.11,0.125,0.15,0.16,0.235,0.305,0.35,0.38,0.475,0.51,0.525,0.58,0.64,0.755,0.725,0.63,0.775,0.75,0.77
11,0.055,0.075,0.1,0.12,0.14,0.205,0.27,0.3,0.415,0.475,0.525,0.595,0.565,0.575,0.68,0.615,0.76,0.67,0.76,0.76,0.855
12,0.05,0.055,0.09,0.155,0.115,0.19,0.23,0.39,0.375,0.515,0.545,0.525,0.63,0.61,0.69,0.69,0.68,0.72,0.8,0.755,0.745
13,0.055,0.07,0.095,0.13,0.17,0.215,0.295,0.31,0.345,0.465,0.485,0.63,0.555,0.625,0.585,0.705,0.67,0.735,0.695,0.82,0.695
14,0.06,0.065,0.085,0.14,0.15,0.205,0.24,0.325,0.36,0.505,0.49,0.605,0.58,0.675,0.6,0.76,0.69,0.725,0.75,0.765,0.795
15,0.085,0.085,0.065,0.135,0.12,0.18,0.235,0.335,0.405,0.47,0.545,0.51,0.665,0.585,0.795,0.66,0.695,0.73,0.77,0.75,0.85
16,0.065,0.07,0.125,0.11,0.16,0.145,0.24,0.25,0.29,0.495,0.545,0.51,0.59,0.59,0.635,0.695,0.765,0.655,0.795,0.79,0.715
17,0.055,0.1,0.105,0.145,0.175,0.235,0.27,0.29,0.36,0.42,0.46,0.555,0.575,0.64,0.715,0.69,0.68,0.705,0.765,0.785,0.815
18,0.115,0.065,0.135,0.105,0.145,0.21,0.26,0.32,0.41,0.43,0.505,0.54,0.575,0.65,0.705,0.695,0.665,0.715,0.83,0.755,0.825
19,0.075,0.095,0.125,0.095,0.14,0.215,0.27,0.305,0.415,0.45,0.51,0.545,0.56,0.64,0.63,0.65,0.68,0.74,0.775,0.78,0.755
20,0.055,0.09,0.07,0.11,0.16,0.155,0.235,0.365,0.38,0.44,0.56,0.575,0.61,0.605,0.63,0.7,0.715,0.7,0.775,0.75,0.765
21,0.07,0.09,0.05,0.15,0.14,0.185,0.205,0.31,0.385,0.465,0.425,0.48,0.54,0.63,0.575,0.665,0.695,0.795,0.79,0.835,0.785
22,0.045,0.08,0.115,0.125,0.15,0.195,0.295,0.3,0.405,0.515,0.56,0.545,0.555,0.625,0.715,0.69,0.755,0.69,0.795,0.85,0.865
23,0.045,0.085,0.11,0.13,0.15,0.18,0.24,0.35,0.345,0.44,0.495,0.51,0.62,0.565,0.67,0.725,0.735,0.72,0.7,0.69,0.815
24,0.04,0.09,0.125,0.105,0.14,0.185,0.255,0.335,0.34,0.51,0.5,0.52,0.635,0.61,0.595,0.795,0.705,0.74,0.755,0.855,0.725
