,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.005,0.005,0.0,0.0,0.0,0.005,0.0,0.01,0.0,0.02,0.005,0.015,0.005,0.005,0.0,0.01,0.0,0.015,0.0,0.005,0.01
1,0.025,0.025,0.025,0.03,0.01,0.045,0.035,0.025,0.005,0.065,0.025,0.045,0.02,0.01,0.03,0.03,0.02,0.03,0.03,0.055,0.06
2,0.07,0.085,0.065,0.08,0.095,0.055,0.06,0.055,0.035,0.065,0.085,0.07,0.145,0.095,0.05,0.135,0.14,0.1,0.055,0.105,0.145
3,0.135,0.135,0.15,0.13,0.105,0.115,0.13,0.165,0.13,0.165,0.15,0.09,0.115,0.09,0.125,0.19,0.19,0.19,0.215,0.17,0.17
4,0.2,0.19,0.135,0.15,0.185,0.115,0.14,0.135,0.12,0.12,0.15,0.165,0.155,0.14,0.105,0.145,0.1,0.24,0.235,0.195,0.165
5,0.215,0.175,0.11,0.12,0.13,0.115,0.095,0.115,0.16,0.125,0.1,0.125,0.145,0.185,0.16,0.165,0.105,0.215,0.125,0.235,0.15
6,0.17,0.225,0.09,0.08,0.06,0.08,0.045,0.03,0.065,0.095,0.065,0.07,0.08,0.1,0.175,0.125,0.12,0.14,0.175,0.175,0.115
7,0.145,0.11,0.11,0.07,0.03,0.045,0.045,0.055,0.04,0.05,0.07,0.06,0.105,0.055,0.06,0.11,0.155,0.09,0.155,0.1,0.09
8,0.145,0.105,0.07,0.07,0.035,0.025,0.04,0.025,0.03,0.015,0.01,0.02,0.04,0.035,0.025,0.065,0.095,0.095,0.085,0.11,0.15
9,0.12,0.09,0.07,0.055,0.03,0.005,0.025,0.015,0.015,0.03,0.025,0.015,0.01,0.025,0.05,0.065,0.08,0.065,0.045,0.025,0.11
10,0.09,0.045,0.04,0.04,0.04,0.045,0.02,0.025,0.025,0.005,0.015,0.01,0.005,0.015,0.04,0.01,0.06,0.04,0.04,0.02,0.035
11,0.105,0.06,0.06,0.02,0.01,0.025,0.025,0.01,0.005,0.01,0.01,0.02,0.0,0.015,0.01,0.015,0.025,0.01,0.06,0.035,0.03
12,0.07,0.035,0.02,0.03,0.01,0.015,0.01,0.01,0.015,0.01,0.005,0.03,0.015,0.025,0.015,0.0,0.01,0.02,0.055,0.04,0.045
13,0.01,0.04,0.03,0.01,0.01,0.0,0.01,0.005,0.02,0.005,0.01,0.0,0.0,0.01,0.015,0.0,0.015,0.02,0.0,0.01,0.0
