,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.01,0.005,0.005,0.0,0.005,0.0,0.0,0.005,0.01,0.005,0.005,0.005,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.005,0.0
3,0.0,0.005,0.005,0.005,0.005,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.005,0.01,0.005,0.0
4,0.0,0.0,0.005,0.015,0.02,0.005,0.01,0.005,0.005,0.005,0.01,0.03,0.02,0.015,0.005,0.025,0.015,0.03,0.015,0.05,0.025
5,0.04,0.03,0.0,0.03,0.02,0.055,0.025,0.015,0.01,0.025,0.02,0.025,0.015,0.035,0.01,0.035,0.045,0.04,0.01,0.04,0.045
6,0.03,0.055,0.025,0.05,0.02,0.045,0.045,0.05,0.02,0.025,0.035,0.04,0.04,0.04,0.055,0.055,0.05,0.075,0.055,0.05,0.095
7,0.05,0.03,0.06,0.03,0.025,0.015,0.06,0.075,0.03,0.025,0.09,0.03,0.035,0.05,0.09,0.02,0.04,0.045,0.05,0.04,0.05
8,0.065,0.07,0.04,0.06,0.02,0.07,0.05,0.055,0.035,0.04,0.035,0.06,0.055,0.075,0.02,0.015,0.055,0.06,0.035,0.075,0.06
9,0.055,0.03,0.04,0.06,0.045,0.05,0.08,0.025,0.035,0.04,0.05,0.065,0.02,0.06,0.05,0.035,0.035,0.07,0.085,0.065,0.075
10,0.035,0.07,0.05,0.07,0.075,0.045,0.07,0.095,0.045,0.025,0.06,0.075,0.025,0.055,0.11,0.085,0.09,0.065,0.06,0.06,0.09
11,0.05,0.06,0.04,0.075,0.025,0.02,0.05,0.055,0.05,0.065,0.035,0.06,0.06,0.07,0.08,0.1,0.065,0.045,0.05,0.065,0.1
12,0.045,0.055,0.035,0.03,0.04,0.085,0.045,0.04,0.045,0.04,0.08,0.085,0.09,0.07,0.065,0.065,0.04,0.055,0.12,0.09,0.08
13,0.035,0.045,0.04,0.07,0.075,0.055,0.025,0.05,0.075,0.055,0.07,0.045,0.045,0.095,0.05,0.045,0.07,0.09,0.07,0.075,0.045
14,0.04,0.035,0.075,0.05,0.09,0.05,0.055,0.025,0.05,0.035,0.075,0.065,0.045,0.06,0.045,0.045,0.05,0.05,0.09,0.115,0.125
15,0.07,0.025,0.06,0.035,0.055,0.025,0.025,0.04,0.065,0.06,0.05,0.045,0.035,0.055,0.055,0.07,0.05,0.05,0.08,0.095,0.04
16,0.035,0.06,0.07,0.055,0.065,0.045,0.065,0.06,0.04,0.07,0.08,0.085,0.035,0.105,0.09,0.07,0.13,0.09,0.07,0.09,0.06
17,0.06,0.045,0.075,0.07,0.045,0.04,0.03,0.05,0.03,0.06,0.025,0.025,0.09,0.065,0.045,0.08,0.03,0.095,0.04,0.055,0.045
18,0.03,0.085,0.05,0.03,0.06,0.03,0.065,0.05,0.09,0.035,0.055,0.06,0.06,0.055,0.03,0.04,0.06,0.06,0.1,0.055,0.055
19,0.07,0.06,0.06,0.035,0.035,0.05,0.035,0.05,0.075,0.07,0.06,0.065,0.045,0.09,0.06,0.04,0.09,0.03,0.075,0.035,0.05
20,0.055,0.06,0.045,0.045,0.045,0.07,0.075,0.075,0.045,0.05,0.04,0.025,0.045,0.035,0.065,0.115,0.04,0.025,0.06,0.035,0.105
21,0.035,0.05,0.07,0.055,0.025,0.055,0.02,0.045,0.06,0.095,0.05,0.095,0.035,0.045,0.06,0.045,0.08,0.07,0.085,0.065,0.09
22,0.06,0.025,0.035,0.04,0.045,0.08,0.065,0.03,0.055,0.035,0.075,0.035,0.045,0.045,0.055,0.075,0.08,0.065,0.08,0.065,0.06
23,0.045,0.03,0.045,0.065,0.035,0.05,0.035,0.045,0.04,0.045,0.06,0.065,0.05,0.05,0.035,0.045,0.045,0.065,0.08,0.045,0.085
24,0.035,0.055,0.06,0.045,0.03,0.075,0.095,0.06,0.07,0.065,0.105,0.06,0.065,0.085,0.065,0.1,0.045,0.035,0.09,0.095,0.06
25,0.045,0.03,0.09,0.07,0.04,0.04,0.05,0.075,0.07,0.035,0.065,0.04,0.05,0.055,0.075,0.07,0.06,0.045,0.08,0.085,0.1
26,0.04,0.055,0.055,0.05,0.03,0.045,0.07,0.045,0.075,0.045,0.045,0.06,0.04,0.1,0.03,0.05,0.08,0.025,0.065,0.095,0.1
27,0.02,0.055,0.045,0.055,0.03,0.05,0.055,0.045,0.05,0.01,0.055,0.065,0.045,0.07,0.04,0.045,0.09,0.065,0.1,0.12,0.06
28,0.055,0.105,0.05,0.08,0.065,0.06,0.065,0.045,0.065,0.055,0.035,0.1,0.06,0.055,0.075,0.095,0.07,0.03,0.075,0.07,0.065
29,0.03,0.04,0.045,0.045,0.06,0.045,0.05,0.05,0.075,0.055,0.04,0.05,0.09,0.05,0.04,0.035,0.045,0.09,0.075,0.045,0.075
30,0.06,0.06,0.04,0.035,0.065,0.04,0.045,0.03,0.075,0.07,0.04,0.065,0.03,0.075,0.06,0.025,0.065,0.045,0.065,0.07,0.06
31,0.045,0.045,0.025,0.06,0.055,0.03,0.045,0.045,0.03,0.065,0.06,0.075,0.05,0.035,0.05,0.08,0.055,0.105,0.06,0.105,0.025
32,0.03,0.07,0.08,0.065,0.07,0.035,0.075,0.055,0.05,0.075,0.07,0.05,0.045,0.045,0.045,0.065,0.08,0.06,0.045,0.06,0.04
33,0.04,0.085,0.08,0.04,0.06,0.05,0.055,0.06,0.06,0.04,0.04,0.06,0.075,0.025,0.065,0.065,0.09,0.13,0.065,0.065,0.06
34,0.045,0.065,0.05,0.055,0.025,0.03,0.05,0.035,0.06,0.05,0.05,0.05,0.02,0.03,0.03,0.07,0.055,0.055,0.095,0.06,0.055
35,0.06,0.07,0.03,0.055,0.035,0.04,0.065,0.04,0.065,0.055,0.065,0.055,0.06,0.075,0.07,0.055,0.08,0.05,0.07,0.055,0.075
36,0.05,0.07,0.055,0.055,0.06,0.055,0.04,0.1,0.045,0.065,0.04,0.075,0.06,0.06,0.045,0.025,0.11,0.055,0.09,0.11,0.075
37,0.08,0.04,0.055,0.04,0.07,0.03,0.05,0.04,0.055,0.065,0.035,0.055,0.045,0.055,0.04,0.055,0.055,0.045,0.04,0.115,0.07
38,0.05,0.055,0.07,0.04,0.05,0.085,0.04,0.015,0.05,0.045,0.05,0.05,0.065,0.04,0.055,0.035,0.03,0.055,0.055,0.11,0.055
39,0.065,0.04,0.035,0.04,0.045,0.045,0.03,0.06,0.04,0.045,0.07,0.05,0.075,0.09,0.095,0.035,0.085,0.05,0.04,0.065,0.025
40,0.025,0.06,0.055,0.04,0.05,0.055,0.03,0.045,0.05,0.055,0.05,0.08,0.06,0.045,0.085,0.04,0.07,0.04,0.055,0.075,0.04
41,0.045,0.035,0.075,0.06,0.05,0.05,0.075,0.05,0.055,0.065,0.045,0.035,0.05,0.06,0.075,0.06,0.08,0.055,0.08,0.085,0.055
42,0.055,0.065,0.04,0.065,0.085,0.05,0.03,0.04,0.055,0.035,0.045,0.08,0.03,0.045,0.05,0.085,0.08,0.045,0.08,0.065,0.04
43,0.035,0.02,0.06,0.055,0.06,0.025,0.06,0.06,0.055,0.04,0.06,0.025,0.04,0.075,0.06,0.035,0.095,0.06,0.115,0.08,0.06
44,0.025,0.025,0.095,0.055,0.06,0.06,0.06,0.035,0.065,0.05,0.08,0.07,0.06,0.075,0.12,0.04,0.035,0.035,0.065,0.05,0.04
45,0.065,0.025,0.055,0.035,0.035,0.1,0.05,0.04,0.045,0.07,0.04,0.095,0.045,0.09,0.025,0.06,0.065,0.07,0.04,0.055,0.04
46,0.05,0.075,0.05,0.04,0.04,0.095,0.06,0.05,0.075,0.06,0.05,0.075,0.035,0.04,0.055,0.075,0.02,0.1,0.1,0.04,0.11
47,0.05,0.065,0.05,0.045,0.05,0.03,0.05,0.05,0.07,0.035,0.085,0.065,0.06,0.06,0.08,0.03,0.045,0.07,0.07,0.06,0.065
48,0.035,0.04,0.05,0.065,0.06,0.055,0.045,0.05,0.07,0.035,0.045,0.075,0.04,0.03,0.07,0.045,0.075,0.07,0.065,0.05,0.06
49,0.045,0.06,0.05,0.04,0.055,0.035,0.045,0.05,0.04,0.06,0.03,0.06,0.04,0.105,0.03,0.105,0.075,0.04,0.065,0.045,0.075
