,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.005,0.0025,0.0025,0.0,0.0025,0.005,0.0,0.0025,0.0075,0.0075,0.0075,0.005,0.0075,0.0025,0.0125,0.005,0.015,0.0075,0.0125,0.0075,0.0
1,0.015,0.035,0.0175,0.02,0.035,0.0375,0.0325,0.0275,0.0375,0.03,0.045,0.0575,0.045,0.0575,0.04,0.05,0.0525,0.11,0.045,0.055,0.1175
2,0.0575,0.08,0.0775,0.0875,0.0875,0.1275,0.135,0.11,0.1275,0.175,0.1925,0.225,0.2125,0.185,0.205,0.2425,0.295,0.2375,0.2275,0.27,0.21
3,0.1375,0.1825,0.1475,0.2175,0.1825,0.32,0.3175,0.3575,0.42,0.43,0.4375,0.495,0.505,0.5175,0.475,0.4975,0.45,0.5175,0.54,0.58,0.535
4,0.17,0.2525,0.3125,0.3725,0.4625,0.5125,0.625,0.735,0.6475,0.755,0.725,0.76,0.745,0.7825,0.7625,0.6875,0.8075,0.75,0.73,0.7925,0.69
5,0.23,0.2375,0.3725,0.4525,0.64,0.7725,0.8325,0.8225,0.8925,0.9225,0.9325,0.9425,0.935,0.92,0.9225,0.9875,0.9425,0.9275,0.93,0.9325,0.94
6,0.1725,0.2625,0.4325,0.545,0.7125,0.8475,0.83,0.9525,0.965,0.9775,0.9725,0.98,0.9875,0.985,0.98,0.98,0.99,0.9825,0.97,0.98,0.97
7,0.1775,0.24,0.395,0.54,0.6575,0.86,0.9075,0.9675,0.9575,0.9775,0.9925,0.9975,0.99,0.9975,0.9925,0.9975,1.0,1.0,0.9975,1.0,1.0
8,0.165,0.19,0.35,0.5125,0.655,0.825,0.8875,0.955,0.99,0.9925,0.9975,0.9925,1.0,1.0,1.0,1.0,0.9975,1.0,1.0,1.0,1.0
9,0.1075,0.165,0.2475,0.4425,0.62,0.8075,0.8875,0.9625,0.98,0.99,0.9975,0.995,0.9925,0.99,1.0,1.0,0.9975,1.0,1.0,1.0,0.99
10,0.1175,0.1325,0.2475,0.365,0.6275,0.73,0.85,0.9675,0.9825,0.9925,0.9925,1.0,0.995,0.99,0.9975,0.9975,0.9975,1.0,1.0,1.0,1.0
11,0.0875,0.1325,0.2025,0.355,0.5225,0.6375,0.825,0.925,0.97,0.97,0.99,0.9825,0.99,1.0,0.9975,1.0,0.9975,1.0,1.0,1.0,1.0
12,0.0675,0.1,0.1225,0.2775,0.4925,0.7,0.7875,0.9075,0.965,0.98,0.9925,0.9875,0.9975,0.9975,1.0,0.995,0.9975,1.0,0.9975,0.9975,1.0
13,0.05,0.07,0.14,0.21,0.4925,0.6575,0.7875,0.87,0.9325,0.945,0.995,0.9875,0.995,1.0,0.99,0.995,0.9975,0.9975,1.0,1.0,1.0
14,0.0475,0.065,0.115,0.21,0.365,0.5475,0.715,0.885,0.9175,0.9725,0.9725,0.99,0.99,0.9975,0.995,0.9975,1.0,1.0,0.9975,0.995,1.0
15,0.0125,0.045,0.0975,0.1675,0.34,0.5,0.7525,0.8275,0.9225,0.945,0.97,1.0,0.9925,1.0,0.9925,0.995,0.99,1.0,1.0,0.9925,0.995
16,0.015,0.06,0.075,0.145,0.255,0.4775,0.63,0.82,0.8875,0.9275,0.975,0.985,0.9875,0.9925,0.995,0.9975,0.995,0.9925,0.9925,0.9975,0.995
17,0.0175,0.0425,0.06,0.125,0.25,0.3875,0.57,0.765,0.8475,0.9075,0.9425,0.99,0.985,0.9775,0.9975,0.9975,1.0,0.995,0.9925,0.9925,1.0
18,0.0125,0.02,0.035,0.095,0.135,0.3325,0.525,0.7425,0.8525,0.925,0.965,0.97,0.975,0.99,0.9975,0.985,0.99,1.0,0.9925,0.995,0.9975
19,0.0125,0.03,0.055,0.09,0.135,0.28,0.4325,0.6825,0.765,0.9375,0.94,0.96,0.9875,0.97,0.9875,0.995,1.0,0.995,0.9925,0.995,0.9875
20,0.0125,0.0175,0.0375,0.085,0.09,0.1625,0.355,0.535,0.7375,0.8675,0.895,0.9425,0.975,0.945,0.9975,0.9775,0.985,0.985,0.9875,0.9875,1.0
21,0.0075,0.0175,0.0375,0.06,0.1075,0.1525,0.2875,0.53,0.6975,0.8675,0.915,0.9475,0.9625,0.9825,0.9975,0.9925,0.9925,0.995,0.99,0.99,0.9925
22,0.0125,0.0175,0.03,0.035,0.09,0.1275,0.27,0.465,0.625,0.69,0.8675,0.945,0.9575,0.9575,0.965,0.9675,0.9775,0.995,1.0,0.985,0.99
23,0.0025,0.01,0.02,0.0475,0.0475,0.1125,0.2575,0.41,0.625,0.7825,0.82,0.885,0.9175,0.9575,0.98,0.985,0.9925,0.995,0.99,0.99,1.0
24,0.0075,0.0025,0.015,0.03,0.0475,0.145,0.1825,0.31,0.5475,0.72,0.8725,0.8875,0.9375,0.91,0.945,0.98,0.975,0.9925,0.9775,0.995,0.985
25,0.0025,0.0075,0.0025,0.015,0.0375,0.065,0.1525,0.3575,0.4825,0.6675,0.775,0.8525,0.925,0.9425,0.965,0.9475,0.97,0.985,0.975,0.975,0.9875
26,0.005,0.0,0.0025,0.0225,0.03,0.08,0.0875,0.28,0.41,0.5475,0.69,0.86,0.8775,0.9225,0.935,0.9375,0.96,0.975,0.9775,0.9825,0.9775
27,0.005,0.005,0.0075,0.01,0.02,0.0425,0.1075,0.1875,0.335,0.61,0.66,0.7375,0.8625,0.9075,0.9025,0.92,0.99,0.995,0.9625,0.975,0.9775
28,0.005,0.0025,0.0025,0.01,0.01,0.0625,0.085,0.1725,0.3025,0.4825,0.655,0.69,0.805,0.8875,0.8975,0.9125,0.92,0.955,0.9475,0.96,0.95
29,0.0,0.0025,0.0025,0.005,0.0125,0.0275,0.0725,0.185,0.2775,0.4,0.575,0.6925,0.7825,0.8225,0.8725,0.91,0.95,0.94,0.92,0.955,0.9625
30,0.0025,0.0025,0.0025,0.0075,0.0175,0.025,0.05,0.1075,0.18,0.2875,0.56,0.6475,0.7775,0.81,0.8475,0.905,0.945,0.9125,0.95,0.9525,0.925
31,0.0025,0.0,0.005,0.0025,0.0025,0.01,0.025,0.0675,0.16,0.2625,0.415,0.6225,0.7575,0.7625,0.7825,0.8725,0.905,0.8925,0.975,0.9275,0.8925
32,0.0,0.005,0.0025,0.0,0.0025,0.0175,0.05,0.075,0.1,0.2275,0.375,0.58,0.6,0.7875,0.8025,0.84,0.85,0.935,0.9225,0.905,0.89
33,0.0025,0.0,0.0025,0.0075,0.0075,0.015,0.0175,0.04,0.105,0.2225,0.2975,0.4825,0.5925,0.645,0.7825,0.8325,0.87,0.8725,0.8825,0.925,0.905
34,0.0025,0.0,0.0025,0.0,0.0075,0.0125,0.0275,0.07,0.1075,0.16,0.24,0.42,0.535,0.5975,0.74,0.795,0.845,0.875,0.8375,0.8425,0.8925
35,0.0,0.005,0.0025,0.0,0.005,0.015,0.0325,0.03,0.0975,0.1575,0.2325,0.365,0.4725,0.5675,0.715,0.82,0.77,0.825,0.84,0.8325,0.8825
36,0.0,0.0,0.0,0.0,0.0025,0.0025,0.015,0.0275,0.055,0.09,0.2,0.275,0.415,0.55,0.6275,0.685,0.73,0.81,0.835,0.83,0.85
37,0.0,0.0,0.0,0.0,0.0025,0.0075,0.02,0.03,0.0625,0.045,0.1975,0.3,0.4175,0.495,0.585,0.6425,0.745,0.78,0.79,0.7825,0.79
38,0.0,0.0025,0.0,0.0025,0.005,0.0075,0.015,0.02,0.05,0.05,0.095,0.2175,0.3425,0.485,0.5825,0.63,0.715,0.725,0.8075,0.7925,0.78
39,0.0,0.0,0.0025,0.0025,0.005,0.0,0.0025,0.015,0.0225,0.0625,0.1275,0.1975,0.305,0.38,0.4525,0.5625,0.6175,0.7125,0.7,0.7425,0.7775
40,0.0,0.0,0.0025,0.0,0.0025,0.0,0.005,0.01,0.045,0.0425,0.09,0.17,0.2425,0.3375,0.465,0.5175,0.62,0.65,0.7275,0.75,0.75
41,0.0,0.0,0.0,0.0,0.0,0.0025,0.0025,0.0075,0.015,0.03,0.065,0.1075,0.155,0.2925,0.44,0.4225,0.56,0.6175,0.6125,0.635,0.73
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0125,0.0075,0.03,0.0575,0.1025,0.1225,0.2425,0.255,0.42,0.5775,0.5975,0.605,0.65,0.6325
43,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0075,0.01,0.0325,0.0425,0.0725,0.125,0.2375,0.2875,0.3075,0.4425,0.49,0.5475,0.6275,0.6625
44,0.0,0.0025,0.0,0.0,0.0,0.0025,0.0025,0.0,0.0,0.015,0.0325,0.0825,0.085,0.1925,0.285,0.2775,0.4025,0.48,0.49,0.57,0.55
45,0.0,0.0,0.0,0.0025,0.0025,0.0,0.0025,0.0075,0.01,0.01,0.03,0.055,0.085,0.13,0.2225,0.2975,0.3725,0.46,0.435,0.505,0.5325
46,0.0,0.0,0.0,0.0025,0.0,0.0025,0.0,0.005,0.005,0.005,0.03,0.0425,0.0575,0.12,0.1675,0.2725,0.2775,0.34,0.445,0.5075,0.525
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0025,0.0,0.005,0.01,0.0325,0.06,0.125,0.11,0.185,0.2475,0.375,0.4275,0.44,0.4725
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.01,0.01,0.0175,0.075,0.0875,0.12,0.1675,0.2775,0.33,0.3775,0.3925,0.465
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.01,0.0275,0.03,0.075,0.0925,0.155,0.2525,0.31,0.335,0.41,0.4475
