,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0025,0.0,0.0,0.0,0.0,0.0025,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0025,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0025,0.0
2,0.005,0.0025,0.0025,0.0,0.0,0.0,0.0075,0.005,0.0025,0.0075,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,0.01,0.0,0.0025
3,0.0075,0.0075,0.01,0.005,0.0075,0.0025,0.0025,0.0025,0.0025,0.0025,0.005,0.0125,0.01,0.005,0.0,0.0125,0.0,0.0075,0.0175,0.0025,0.03
4,0.015,0.0075,0.005,0.015,0.005,0.025,0.0125,0.0025,0.025,0.0225,0.0175,0.0125,0.04,0.0275,0.045,0.0375,0.0625,0.0375,0.015,0.0575,0.0325
5,0.04,0.025,0.0325,0.02,0.0275,0.0375,0.02,0.03,0.035,0.045,0.06,0.0975,0.035,0.09,0.14,0.085,0.0675,0.13,0.1125,0.1675,0.115
6,0.04,0.035,0.045,0.06,0.045,0.0475,0.0925,0.125,0.11,0.1475,0.125,0.18,0.1875,0.1775,0.2125,0.2075,0.2625,0.25,0.3,0.3675,0.295
7,0.055,0.0425,0.0625,0.07,0.0725,0.08,0.115,0.1425,0.1825,0.24,0.3025,0.3,0.335,0.44,0.4075,0.4325,0.48,0.4625,0.4825,0.4825,0.47
8,0.0475,0.06,0.055,0.0675,0.11,0.125,0.18,0.2225,0.2925,0.32,0.3925,0.43,0.45,0.5325,0.53,0.5225,0.5275,0.6025,0.615,0.605,0.62
9,0.085,0.07,0.0725,0.09,0.1025,0.1375,0.1825,0.27,0.315,0.35,0.4325,0.5725,0.545,0.5575,0.6575,0.6975,0.6125,0.6825,0.7075,0.7275,0.6925
10,0.0775,0.0575,0.0825,0.11,0.1325,0.155,0.235,0.3075,0.3875,0.4075,0.5125,0.53,0.555,0.5925,0.6775,0.76,0.7525,0.64,0.7775,0.765,0.7625
11,0.0375,0.08,0.1075,0.095,0.135,0.19,0.24,0.2925,0.435,0.47,0.55,0.6175,0.595,0.5875,0.6825,0.645,0.7725,0.695,0.7625,0.7775,0.8525
12,0.0425,0.06,0.0725,0.1325,0.115,0.1725,0.2325,0.3675,0.38,0.5075,0.57,0.5425,0.64,0.6125,0.685,0.695,0.6925,0.7175,0.81,0.75,0.755
13,0.055,0.0725,0.0775,0.095,0.145,0.2025,0.2675,0.3375,0.3425,0.4975,0.515,0.6375,0.5625,0.645,0.605,0.7025,0.6825,0.74,0.7175,0.825,0.705
14,0.05,0.0725,0.07,0.13,0.12,0.1775,0.2425,0.3025,0.355,0.52,0.5075,0.5825,0.59,0.655,0.6075,0.7625,0.705,0.7275,0.7525,0.765,0.805
15,0.0675,0.07,0.0675,0.0975,0.11,0.1825,0.2375,0.3375,0.38,0.4875,0.575,0.5275,0.6825,0.61,0.8075,0.6775,0.7075,0.745,0.785,0.7625,0.86
16,0.0575,0.0775,0.1025,0.1225,0.135,0.1575,0.21,0.245,0.32,0.4875,0.57,0.53,0.6,0.59,0.645,0.695,0.7725,0.6625,0.8125,0.79,0.73
17,0.0575,0.07,0.085,0.125,0.1375,0.2375,0.2825,0.2975,0.3675,0.415,0.4825,0.5625,0.575,0.6425,0.75,0.695,0.6825,0.7025,0.78,0.785,0.815
18,0.0775,0.0675,0.115,0.1,0.135,0.2025,0.245,0.3425,0.405,0.43,0.5375,0.5525,0.5775,0.645,0.725,0.6925,0.6825,0.7175,0.83,0.7625,0.83
19,0.07,0.08,0.1025,0.0975,0.12,0.2175,0.2475,0.31,0.435,0.4375,0.5075,0.5425,0.595,0.6725,0.6475,0.6575,0.705,0.74,0.7775,0.7825,0.7825
20,0.055,0.0775,0.0575,0.1125,0.15,0.15,0.2125,0.3525,0.365,0.4675,0.57,0.6125,0.615,0.6175,0.6425,0.71,0.71,0.7,0.7875,0.7575,0.7625
21,0.06,0.0825,0.05,0.13,0.1325,0.195,0.2025,0.3075,0.3725,0.4675,0.4425,0.5,0.5675,0.6475,0.5775,0.7,0.7125,0.8075,0.79,0.845,0.79
22,0.0375,0.0675,0.1025,0.0975,0.14,0.1725,0.26,0.34,0.415,0.4975,0.555,0.5825,0.5825,0.6425,0.72,0.7125,0.7675,0.7225,0.7925,0.8525,0.87
23,0.0375,0.07,0.08,0.11,0.11,0.16,0.2425,0.33,0.3425,0.4475,0.5125,0.5175,0.6275,0.58,0.675,0.7275,0.715,0.725,0.71,0.7075,0.82
24,0.0525,0.0725,0.08,0.1,0.1225,0.1675,0.25,0.3425,0.355,0.4975,0.5,0.5425,0.6425,0.61,0.6025,0.8025,0.7025,0.7325,0.755,0.87,0.74
25,0.085,0.0775,0.0575,0.085,0.14,0.155,0.285,0.3575,0.365,0.425,0.37,0.6275,0.64,0.615,0.63,0.71,0.625,0.715,0.75,0.77,0.78
26,0.045,0.085,0.065,0.12,0.13,0.205,0.27,0.2975,0.3525,0.475,0.5425,0.4475,0.6275,0.6175,0.6775,0.73,0.6725,0.6875,0.7725,0.8125,0.8125
