,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.005,0.0025,0.005,0.0,0.0,0.0025,0.0025,0.0075,0.005,0.0125,0.005,0.01,0.005,0.0025,0.0,0.0125,0.0,0.0075,0.0025,0.0025,0.005
1,0.0175,0.0175,0.0175,0.03,0.01,0.0275,0.0275,0.0225,0.02,0.045,0.015,0.0425,0.02,0.0175,0.025,0.03,0.015,0.03,0.0275,0.0475,0.0425
2,0.0725,0.0725,0.075,0.08,0.0675,0.065,0.065,0.06,0.05,0.07,0.0825,0.065,0.09,0.0925,0.045,0.095,0.1225,0.085,0.0525,0.09,0.115
3,0.14,0.18,0.125,0.135,0.1375,0.1425,0.1275,0.165,0.14,0.1525,0.1425,0.0925,0.115,0.0975,0.1325,0.1775,0.1775,0.16,0.195,0.1425,0.1525
4,0.205,0.2025,0.16,0.1525,0.2025,0.135,0.15,0.1725,0.1525,0.1425,0.17,0.18,0.1925,0.1725,0.1375,0.1475,0.13,0.2325,0.2375,0.175,0.17
5,0.2075,0.195,0.19,0.1475,0.16,0.1575,0.135,0.1475,0.2075,0.1575,0.1425,0.175,0.185,0.235,0.2,0.185,0.1375,0.2275,0.1525,0.2475,0.1625
6,0.15,0.2075,0.125,0.1175,0.125,0.115,0.0925,0.065,0.105,0.1475,0.1075,0.1275,0.1175,0.1525,0.2,0.1675,0.14,0.16,0.2175,0.195,0.12
7,0.1675,0.12,0.125,0.105,0.0975,0.0775,0.0925,0.0825,0.0975,0.1025,0.0975,0.105,0.1525,0.1,0.1075,0.1475,0.2,0.105,0.1775,0.1225,0.105
8,0.135,0.12,0.1075,0.0925,0.0625,0.0775,0.0975,0.085,0.105,0.0525,0.06,0.05,0.0825,0.0775,0.06,0.085,0.12,0.1125,0.115,0.1325,0.17
9,0.1225,0.11,0.1,0.0725,0.0625,0.06,0.075,0.0575,0.05,0.0825,0.085,0.065,0.0325,0.0725,0.0975,0.11,0.1025,0.0925,0.065,0.0475,0.1325
10,0.1075,0.0675,0.07,0.0675,0.07,0.065,0.04,0.045,0.0475,0.0325,0.0425,0.0375,0.04,0.0575,0.0525,0.045,0.1025,0.065,0.0475,0.04,0.0625
11,0.0825,0.08,0.08,0.0475,0.03,0.04,0.03,0.03,0.0525,0.0425,0.035,0.0425,0.0175,0.0325,0.0425,0.03,0.0475,0.0375,0.075,0.0475,0.04
