,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0
1,0.0025,0.0025,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0025,0.0
2,0.0075,0.005,0.0025,0.0,0.0025,0.0,0.0,0.0025,0.005,0.0025,0.0025,0.005,0.0025,0.0,0.005,0.0025,0.0025,0.005,0.0,0.0025,0.0025
3,0.0,0.01,0.005,0.0025,0.0025,0.005,0.0075,0.005,0.005,0.0075,0.0025,0.005,0.01,0.01,0.0075,0.0,0.0025,0.0025,0.0125,0.0075,0.0025
4,0.0025,0.0025,0.0025,0.015,0.0175,0.005,0.01,0.005,0.0025,0.0075,0.005,0.02,0.0225,0.01,0.01,0.0175,0.0125,0.0225,0.01,0.035,0.02
5,0.0325,0.035,0.0275,0.02,0.02,0.045,0.0325,0.0175,0.01,0.0325,0.0175,0.0225,0.02,0.0225,0.0075,0.02,0.035,0.03,0.025,0.0275,0.0475
6,0.0325,0.0525,0.025,0.05,0.035,0.0475,0.0425,0.05,0.025,0.03,0.04,0.03,0.035,0.0375,0.0475,0.045,0.045,0.075,0.0475,0.0325,0.0775
7,0.055,0.0325,0.0575,0.0275,0.0375,0.0225,0.0575,0.0525,0.04,0.045,0.08,0.05,0.0375,0.06,0.0675,0.02,0.0475,0.055,0.0475,0.04,0.045
8,0.0525,0.055,0.06,0.0675,0.0475,0.07,0.04,0.0625,0.0475,0.05,0.035,0.06,0.07,0.0775,0.03,0.0225,0.0775,0.065,0.055,0.08,0.0625
9,0.05,0.0475,0.055,0.0825,0.035,0.055,0.0825,0.0425,0.0725,0.0575,0.0575,0.085,0.0475,0.0625,0.065,0.05,0.035,0.0725,0.08,0.085,0.085
10,0.055,0.065,0.0575,0.065,0.07,0.0625,0.0575,0.08,0.0675,0.05,0.065,0.0675,0.035,0.06,0.0975,0.0775,0.0925,0.075,0.0575,0.065,0.0925
11,0.0675,0.0575,0.055,0.065,0.0475,0.0375,0.055,0.06,0.04,0.0675,0.03,0.0875,0.0625,0.0625,0.0825,0.095,0.0675,0.04,0.0475,0.0675,0.0875
12,0.0575,0.065,0.045,0.0575,0.045,0.0725,0.0525,0.0475,0.05,0.055,0.0725,0.0775,0.095,0.0575,0.0575,0.0625,0.05,0.0575,0.125,0.085,0.0825
13,0.0475,0.05,0.0675,0.0625,0.06,0.0675,0.0475,0.055,0.0725,0.06,0.085,0.05,0.05,0.1,0.045,0.0775,0.065,0.085,0.0925,0.09,0.055
14,0.0525,0.05,0.0725,0.0475,0.075,0.055,0.045,0.0375,0.06,0.05,0.0775,0.07,0.06,0.08,0.0625,0.035,0.055,0.05,0.0675,0.1025,0.1075
15,0.0525,0.0475,0.06,0.0425,0.08,0.0525,0.0475,0.0575,0.0625,0.0725,0.075,0.06,0.025,0.055,0.0675,0.0775,0.0375,0.0475,0.0875,0.08,0.0525
16,0.0475,0.065,0.055,0.0475,0.065,0.0525,0.065,0.06,0.0425,0.0625,0.08,0.0875,0.0425,0.0925,0.1175,0.0675,0.1275,0.1025,0.07,0.0825,0.0575
17,0.0625,0.0525,0.0675,0.0675,0.0425,0.06,0.05,0.065,0.0425,0.0675,0.04,0.04,0.065,0.0575,0.0425,0.085,0.03,0.11,0.0575,0.055,0.0475
18,0.0525,0.07,0.04,0.0525,0.055,0.04,0.0675,0.0425,0.0775,0.0525,0.05,0.08,0.06,0.05,0.0375,0.0475,0.0725,0.06,0.085,0.07,0.065
19,0.0575,0.045,0.065,0.045,0.0625,0.0525,0.0425,0.0625,0.075,0.075,0.0625,0.07,0.06,0.085,0.0675,0.05,0.085,0.0475,0.0625,0.045,0.05
20,0.0725,0.045,0.06,0.05,0.045,0.075,0.07,0.0675,0.055,0.075,0.0625,0.035,0.0575,0.05,0.07,0.0975,0.055,0.0425,0.0525,0.04,0.1025
21,0.0425,0.06,0.06,0.07,0.0425,0.06,0.0325,0.045,0.065,0.0875,0.0675,0.0875,0.0425,0.06,0.05,0.055,0.085,0.0625,0.0825,0.0725,0.095
22,0.0525,0.0525,0.045,0.0475,0.05,0.06,0.0625,0.035,0.0525,0.0575,0.0825,0.04,0.0625,0.055,0.05,0.0875,0.0875,0.0875,0.0925,0.0575,0.045
23,0.06,0.05,0.06,0.0575,0.0425,0.0475,0.0475,0.055,0.0625,0.07,0.07,0.055,0.0675,0.0725,0.04,0.045,0.05,0.0675,0.09,0.055,0.0825
24,0.045,0.0725,0.0475,0.05,0.0425,0.075,0.0775,0.0575,0.065,0.05,0.105,0.0625,0.0975,0.09,0.0625,0.095,0.0575,0.045,0.08,0.1025,0.085
25,0.0425,0.0275,0.075,0.0725,0.05,0.0475,0.0625,0.0725,0.08,0.045,0.065,0.055,0.06,0.0825,0.065,0.065,0.09,0.065,0.0875,0.075,0.11
26,0.05,0.06,0.0675,0.0475,0.0475,0.0525,0.0775,0.0525,0.0675,0.045,0.0575,0.06,0.0475,0.095,0.0375,0.07,0.08,0.035,0.0675,0.08,0.0925
27,0.035,0.0575,0.05,0.0525,0.03,0.0475,0.055,0.04,0.0725,0.015,0.045,0.0575,0.0625,0.0775,0.055,0.0475,0.1025,0.07,0.085,0.1125,0.075
28,0.06,0.0975,0.0625,0.0825,0.0625,0.06,0.095,0.055,0.0675,0.0625,0.05,0.0975,0.07,0.0525,0.0825,0.1075,0.07,0.0425,0.0775,0.07,0.06
29,0.0475,0.0525,0.0575,0.0375,0.0625,0.0725,0.055,0.0475,0.065,0.07,0.065,0.06,0.0925,0.055,0.0475,0.045,0.04,0.1,0.0725,0.0575,0.08
30,0.055,0.0625,0.055,0.04,0.06,0.055,0.065,0.0425,0.085,0.0725,0.04,0.0725,0.04,0.075,0.075,0.04,0.0525,0.0525,0.0675,0.0725,0.075
31,0.0475,0.0425,0.0525,0.055,0.05,0.0375,0.06,0.055,0.055,0.0525,0.05,0.0675,0.06,0.0525,0.065,0.085,0.065,0.0975,0.0625,0.1025,0.04
32,0.045,0.0775,0.0775,0.07,0.0625,0.055,0.0775,0.0675,0.06,0.075,0.075,0.0575,0.06,0.0575,0.055,0.06,0.0775,0.065,0.045,0.05,0.05
33,0.0475,0.075,0.0775,0.0525,0.06,0.0525,0.06,0.06,0.0625,0.055,0.055,0.065,0.085,0.035,0.0725,0.0775,0.09,0.115,0.07,0.07,0.0725
34,0.045,0.06,0.05,0.065,0.0575,0.0425,0.06,0.0375,0.07,0.055,0.055,0.05,0.0575,0.0475,0.04,0.0725,0.05,0.0725,0.09,0.0675,0.0575
35,0.065,0.0775,0.04,0.06,0.0525,0.0525,0.06,0.065,0.0675,0.055,0.05,0.0475,0.08,0.0675,0.0875,0.07,0.08,0.0575,0.0725,0.065,0.0575
36,0.045,0.0725,0.0575,0.06,0.065,0.05,0.04,0.075,0.07,0.0675,0.0525,0.07,0.0575,0.065,0.0375,0.0325,0.11,0.0625,0.095,0.1075,0.0825
37,0.07,0.045,0.0525,0.05,0.0625,0.035,0.06,0.04,0.06,0.07,0.065,0.06,0.055,0.0525,0.0475,0.0575,0.06,0.05,0.04,0.115,0.065
38,0.0625,0.06,0.0575,0.0325,0.055,0.075,0.045,0.0425,0.0425,0.0475,0.055,0.0625,0.065,0.05,0.07,0.035,0.05,0.08,0.0725,0.105,0.07
39,0.06,0.05,0.0425,0.05,0.07,0.0725,0.0525,0.065,0.0575,0.0375,0.0725,0.06,0.0775,0.0875,0.1025,0.05,0.0925,0.04,0.045,0.065,0.04
