Count,Group,E1,D1
1,A,1,0
2,A,1,0
3,A,1,0
4,A,1,0
5,A,1,0
6,A,1,0
7,A,1,0
8,A,1,0
9,A,1,0
10,A,1,0
11,A,1,0
12,A,1,0
13,A,1,0
14,A,1,0
15,A,1,0
16,A,1,0
17,A,1,0
18,A,1,0
19,A,1,0
20,A,1,0
21,A,1,0
22,A,1,0
23,A,1,0
24,A,1,0
25,A,1,0
26,A,1,0
27,A,0,0
28,A,0,1
29,A,0,1
30,A,0,1
31,A,0,1
1,A,1,0
2,A,1,0
3,A,1,0
4,A,1,0
5,A,1,0
6,A,1,0
7,A,1,0
8,A,1,0
9,A,1,0
10,A,1,0
11,A,1,0
12,A,1,0
13,A,1,0
14,A,1,0
15,A,1,0
16,A,1,0
17,A,1,0
18,A,1,0
19,A,1,0
20,A,1,0
21,A,1,0
22,A,1,0
23,A,1,0
24,A,1,0
25,A,1,0
26,A,1,0
27,A,1,0
28,A,1,0
29,A,1,0
30,A,1,0
31,A,1,0
32,A,1,0
33,A,1,0
34,A,1,0
35,A,1,0
36,A,1,0
37,A,1,0
38,A,1,0
39,A,0,0
40,A,0,0
41,A,0,0
42,A,0,1
43,A,0,1
44,A,0,1
45,A,0,1
1,A,1,0
2,A,1,0
3,A,1,0
4,A,1,0
5,A,1,0
6,A,1,0
7,A,1,0
8,A,1,0
9,A,1,0
10,A,1,0
11,A,1,0
12,A,1,0
13,A,1,0
14,A,1,0
15,A,1,0
16,A,1,0
17,A,1,0
18,A,1,0
19,A,1,0
20,A,1,0
21,A,1,0
22,A,1,0
23,A,1,0
24,A,1,0
25,A,1,0
26,A,1,0
27,A,1,0
28,A,1,0
29,A,1,0
30,A,1,0
31,A,1,0
32,A,1,0
33,A,0,0
34,A,0,0
35,A,0,0
36,A,0,1
37,A,0,1
38,A,0,1
39,A,0,1
40,A,0,1
41,A,0,1
42,A,0,1
43,A,0,1
44,A,0,1
45,A,0,1
1,B,1,0
2,B,1,0
3,B,1,0
4,B,1,0
5,B,1,0
6,B,1,0
7,B,1,0
8,B,1,0
9,B,1,0
10,B,1,0
11,B,1,0
12,B,1,0
13,B,1,0
14,B,1,0
15,B,1,0
16,B,1,0
17,B,1,0
18,B,1,0
19,B,1,0
20,B,1,0
21,B,1,0
22,B,1,0
23,B,1,0
24,B,1,0
25,B,1,0
26,B,0,0
27,B,0,0
28,B,0,0
29,B,0,0
30,B,0,0
31,B,0,0
32,B,0,1
33,B,0,1
34,B,0,1
35,B,0,1
36,B,0,1
37,B,0,1
38,B,0,1
39,B,0,1
40,B,0,1
41,B,0,1
1,B,1,0
2,B,1,0
