Count,Group,E1,E2
1,Speed,1,1
2,Speed,1,1
3,Speed,1,1
4,Speed,1,1
5,Speed,1,1
6,Speed,1,1
7,Speed,1,1
8,Speed,1,1
9,Speed,1,1
10,Speed,1,1
11,Speed,1,1
1,Speed,1,1
2,Speed,1,1
3,Speed,1,1
4,Speed,1,1
5,Speed,1,1
6,Speed,1,1
7,Speed,1,1
8,Speed,1,1
9,Speed,1,1
10,Speed,1,1
11,Speed,1,1
1,Speed,1,1
2,Speed,1,1
3,Speed,1,1
4,Speed,1,1
5,Speed,1,1
6,Speed,1,1
7,Speed,1,1
8,Speed,1,1
9,Speed,1,1
10,Speed,1,1
11,Speed,1,1
12,Speed,1,1
13,Speed,1,1
14,Speed,1,1
15,Speed,1,1
1,Speed,1,1
2,Speed,1,1
3,Speed,1,1
4,Speed,1,1
5,Speed,1,1
6,Speed,1,1
7,Speed,1,1
8,Speed,1,1
9,Speed,1,1
10,Speed,1,1
11,Speed,1,1
12,Speed,1,1
13,Speed,1,1
14,Speed,1,1
15,Speed,1,1
16,Speed,1,1
17,Speed,1,1
18,Speed,1,1
1,Speed,1,1
2,Speed,1,1
3,Speed,1,1
4,Speed,1,1
5,Speed,1,1
6,Speed,1,1
7,Speed,1,1
8,Speed,1,1
9,Speed,1,1
10,Speed,1,1
11,Speed,1,1
12,Speed,1,1
13,Speed,1,1
1,Speed,1,1
2,Speed,1,1
3,Speed,1,1
4,Speed,1,1
5,Speed,1,1
6,Speed,1,1
7,Speed,1,1
8,Speed,1,1
9,Speed,1,1
10,Speed,1,1
11,Speed,1,1
12,Speed,1,1
13,Speed,1,1
14,Speed,1,1
15,Speed,1,0
16,Speed,0,0
1,Speed,1,1
2,Speed,1,1
3,Speed,1,1
4,Speed,1,1
5,Speed,1,1
6,Speed,1,1
7,Speed,1,1
8,Speed,1,1
9,Speed,1,1
10,Speed,1,1
11,Speed,1,1
12,Speed,1,1
13,Speed,0,0
14,Speed,0,0
1,Plain,1,1
2,Plain,1,1
3,Plain,1,1
4,Plain,1,1
5,Plain,1,1
6,Plain,1,1
7,Plain,1,1
8,Plain,1,1
9,Plain,1,1
10,Plain,1,0
11,Plain,0,0
12,Plain,0,0
13,Plain,0,0
1,Plain,1,1
2,Plain,1,1
3,Plain,1,1
4,Plain,1,1
5,Plain,1,1
6,Plain,1,1
7,Plain,1,1
8,Plain,1,1
9,Plain,1,1
10,Plain,1,0
11,Plain,1,0
12,Plain,0,0
13,Plain,0,0
14,Plain,0,0
1,Plain,1,1
2,Plain,1,1
3,Plain,1,1
4,Plain,1,1
5,Plain,1,0
6,Plain,1,0
7,Plain,1,0
8,Plain,1,0
9,Plain,1,0
10,Plain,1,0
11,Plain,0,0
12,Plain,0,0
13,Plain,0,0
14,Plain,0,0
15,Plain,0,0
1,Plain,1,1
2,Plain,1,1
3,Plain,1,1
4,Plain,1,1
5,Plain,1,1
6,Plain,1,1
7,Plain,1,1
8,Plain,1,1
9,Plain,1,1
10,Plain,1,1
11,Plain,1,0
12,Plain,1,0
1,Plain,1,1
2,Plain,1,1
3,Plain,1,1
4,Plain,1,1
5,Plain,1,1
6,Plain,1,1
7,Plain,1,1
8,Plain,1,1
9,Plain,1,0
10,Plain,0,0
1,Plain,1,1
2,Plain,1,1
3,Plain,1,1
4,Plain,1,1
5,Plain,1,1
6,Plain,1,1
7,Plain,1,1
8,Plain,1,1
9,Plain,1,1
10,Plain,1,0
11,Plain,1,0
12,Plain,1,0
13,Plain,0,0
14,Plain,0,0
15,Plain,0,0
1,Plain,1,1
2,Plain,1,1
3,Plain,1,1
4,Plain,1,1
5,Plain,1,1
6,Plain,1,1
7,Plain,1,1
8,Plain,1,1
9,Plain,1,1
10,Plain,1,1
11,Plain,1,1
12,Plain,1,1
13,Plain,1,1
14,Plain,1,0
15,Plain,0,0
16,Plain,0,0
17,Plain,0,0
1,Plain,1,1
2,Plain,1,1
3,Plain,1,1
4,Plain,1,1
5,Plain,1,1
6,Plain,1,1
7,Plain,1,1
8,Plain,1,1
9,Plain,1,1
10,Plain,1,1
11,Plain,1,1
12,Plain,1,1
13,Plain,1,0
14,Plain,1,0
1,Plain,1,1
2,Plain,1,1
3,Plain,1,1
4,Plain,1,1
5,Plain,1,1
6,Plain,1,1
7,Plain,1,1
8,Plain,1,1
9,Plain,1,1
10,Plain,1,1
11,Plain,1,1
12,Plain,1,1
13,Plain,1,1
14,Plain,1,1
15,Plain,1,1
16,Plain,1,1
17,Plain,1,1
18,Plain,1,1
19,Plain,1,1
20,Plain,1,1
21,Plain,1,1
22,Plain,1,1
23,Plain,1,1
24,Plain,1,1
25,Plain,1,1
26,Plain,1,1
27,Plain,1,0
28,Plain,1,0
29,Plain,1,0
30,Plain,1,0
31,Plain,1,0
32,Plain,1,0
33,Plain,1,0
34,Plain,1,0
35,Plain,0,0
36,Plain,0,0
37,Plain,0,0
38,Plain,0,0
39,Plain,0,0
40,Plain,0,0
41,Plain,0,0
42,Plain,0,0
43,Plain,0,0
